"（ルミナスが解散してからも、アイドルたちは
それぞれの事務所で順調に活動を続けていた）","(Even after Luminous disbanded, the idols continued their activities smoothly at each office.)","(Even after Luminous disbanded, idols
(They were doing well in their respective offices.)","(Even after Luminous disbanded, the idols
continued their activities smoothly at each office.)",""
"（そんなある日、春香たち１３人のアイドルと
心白と亜夜が社長に集められた）","(Then one day, Haruka and the other thirteen idols were gathered by Kohaku and Aya.)","(One day, Haruka and 13 other idols and
(Shinbaku and Aya were collected by the president)","(Then one day, Haruka and the other thirteen
idols were gathered by Kohaku and Aya.)",""
"ねえねえ、兄ちゃん。
なんで亜美たち、社長に呼び出されたの？","“Hey, Nii-chan.” Why were Ami and the others summoned by their president?","Hey, hey, brother.
Why were Ami and the others summoned by the president?","“Hey, Nii-chan. Why were Ami and the
others summoned by their president?",""
"も、もしかして、亜美と一緒に事務所に仕掛けた
イタズラがバレちゃったのかも！？　うあうあ～！","C-Could it be that they found out about the prank Ami and I set up at our office?! Uwaaahh~","Maybe you and Ami set it up in the office.
Maybe the prank got caught! Uhhhhhhh~!","C-Could it be that they found out about the prank
Ami and I set up at our office?! Uwaaahh~",""
"俺も詳しいことは聞いていないが……。
イタズラを仕掛けるなといつも言っているだろう？","I haven't heard the details either, but... Have you not always told me to stop pulling pranks?","I haven't heard the details either, but you can find them at .......
I always tell you not to play tricks on me, don't I?","I haven't heard the details either, but... Have
you not always told me to stop pulling pranks?",""
"まったく……。あなたたち、
後で話があるから、残っておくように","Honestly... I need to talk with you guys later, so please stay behind","Totally ....... you guys,
We'll talk later. Stay behind.","Honestly... I need to talk with you
guys later, so please stay behind",""
"あの、どうして私と亜夜ちゃんまで、
７６５プロに呼ばれたんでしょうか？","Um, why did Aya and I get called to Pro ?","Um, why even me and Aya,
Were you invited by 765 Pro?","Um, why did Aya and I
get called to Pro ?",""
"眞弓さんに理由を聞いたんだけど、
高木社長から直接聞いてくれって言われたわ","I asked Mayumi why, but she told me to ask President Takagi directly","I asked Mayumi why,
President Takagi asked me to ask him directly.","I asked Mayumi why, but she told me
to ask President Takagi directly",""
"ふっふっふっ……気になるかね？
それでは……","Heheh... Are you curious? Well then, let's go","Phew phew phew... ...... care?
Let's see: ......","Heheh... Are you
curious? Well then, let's go",""
"うぉっほん！　我が７６５プロの諸君、
そして奥空君と亜夜君！","Ahem! My  pros, and now you two are here","My fellow 765 Pro members,
And then there's Oku-sora-kun and Aya-kun!","Ahem! My  pros, and
now you two are here",""
"皆、よく来てくれたね！","Thank you for coming, everyone!","Thank you all for coming!","Thank you for coming, everyone!",""
"今年はアイドルにとって特別な年になる。
そんな年を記念して、事務所横断の合同ライブ……","This is going to be a special year for idols. To celebrate that, we're holding joint concerts across the office..","This year will be a special year for idols.
To commemorate such a year, a joint live performance across offices ......","This is going to be a special year for idols. To
celebrate that, we're holding joint concerts across the office..",""
"『Ｍ＠ＳＴＥＲＳ　ＯＦ　ＩＤＯＬ
ＷＯＲＬＤ！！』が開催されることになった！","“M@STERS OF IDOOL WORLD!!” was going to be held!","M@STERS OF IDOL
WORLD!","“M@STERS OF IDOOL WORLD!!
was going to be held!",""
"ええっ、合同ライブですか！？
ということは、もしかして……","Whaaat? A joint concert! Does that mean..","What, a joint concert?
So, maybe you'd like to ......","Whaaat? A joint
concert! Does that mean..",""
"うむ！
我が７６５プロにも、参加要請があってね","Yes! Our  Pros have been requested to participate as well","Mm!
We, 765 Productions, have been asked to participate.","Yes! Our  Pros have been requested
to participate as well",""
"ぜひ、運営側が用意する新曲を
披露してほしいと、お願いされたのだよ","I was asked to perform a new song prepared by the management","We would love to have a new song prepared by the management.
They asked me to show you, they asked me to show you.","I was asked to perform a new song
prepared by the management",""
"また、その企画のひとつとして、衣装も
全員でおそろいのものを用意してくれるそうだ","In addition, as part of that plan we'll all be preparing matching outfits","Also, as part of the project, costumes will be
They're going to have matching ones for all of us.","In addition, as part of that plan we'll
all be preparing matching outfits",""
"わぁ！　そんなすごいライブに、
私たちが出られるんですね！","Wow! I didn't know we could perform at such an amazing concert","Wow! Such a great gig,
So we can leave!","Wow! I didn't know we could perform
at such an amazing concert",""
"新曲まであるなんて……。
すごいライブみたいだね、真ちゃん","There's even a new song... It sounds like an amazing concert, Makoto-chan","I can't believe there are even new songs. ......
Sounds like a great gig, true.","There's even a new song... It sounds
like an amazing concert, Makoto-chan",""
"そうだね。うぅ～、燃えてきた！
雪歩。一緒に頑張ろう！","You're right. Ugh, I can feel it! Yukiho... Let us do our best together!!","Yes...ugh...I'm on fire!
Let's work together!","You're right. Ugh, I can feel it!
Yukiho... Let us do our best together!!",""
"（こ、これはすごいことになってきたぞ……！）","(Th-This is getting amazing...!)","(Hey, this is going to be great. ......!)","(Th-This is getting amazing...!)",""
"それと、奥空君と亜夜君にも、
参加要請が来ていてね","Also, we've received requests for Okuzora and Aya to participate as well","And to you, Okuora-kun and Aya-kun,
I've been asked to participate.","Also, we've received requests for
Okuzora and Aya to participate as well",""
"眞弓君から、我が７６５プロに
君たちのプロデュースの依頼があったんだよ","Mayumi asked my  Pro to produce you all","From Mayumi to our 765 Pro
I've been asked to produce you guys.","Mayumi asked my  Pro
to produce you all",""
"……！　私たちも７６５プロのみなさんと一緒に、
参加できるんですね！","...! So we'll be able to join the  pros, huh?","......! We are also with you, 765 Pro,
You can participate!","...! So we'll be able to
join the  pros, huh?",""
"ですが、どうしてうちの事務所に依頼を？","But why did you make a request to our office?","But why did you hire our firm?","But why did you make a request to our office?",""
"今回は大きなライブになるからね。君の腕を
見込んで、奥空君と亜夜君を任せたいそうなんだ","It's going to be a big concert this time, so she wants you two in charge","It's going to be a big gig this time, your arm.
He wants to entrust Mr. Okumora and Mr. Aya to me in anticipation.","It's going to be a big concert this
time, so she wants you two in charge",""
"責任重大だが……、
君も望むところだろう？","It's a heavy responsibility, but... You wish for it too","It's a big responsibility, but you can find out more at ......,
You'd like that, wouldn't you?","It's a heavy responsibility,
but... You wish for it too",""
"はい、任せてください！","Yes, leave it to me!","Yes, I'll take care of it!","Yes, leave it to me!",""
"うむ！
君ならば必ず成功できると信じているよ","Yes! I'm sure you can pull it off","Mm!
I have no doubt you will make it.","Yes! I'm sure you
can pull it off",""
"まず皆には『Ｍ＠ＳＴＥＲＳ　ＯＦ　ＩＤＯＬ
ＷＯＲＬＤ！！』のプレイベント……","First of all, let's have a pre-event for M@STERS OF IOL WORLD!!","First of all, I'd like to say ""M@STERS OF IDOL"" to everyone.
Pre-event for ""WORLD!!!"" ......","First of all, let's have a
pre-event for M@STERS OF IOL WORLD!!",""
"『スマイルフェスタ』に参加してもらうことになる","You'll be participating in the Smile Festa","You will be asked to participate in the ""Smilefest.""","You'll be participating in the Smile Festa",""
"『スマイルフェスタ』は福岡・大阪・名古屋・札幌・
東京の５大都市で行われる大規模なライブだ","“Smile Festa” is a large-scale concert held in the five major cities of Fukuoka, Osaka and Nagoya","Smile Festa"" is held in Fukuoka, Osaka, Nagoya, Sapporo, and
It's a massive gig, taking place in five major cities in Tokyo.","“Smile Festa is a large-scale concert held in the
five major cities of Fukuoka, Osaka and Nagoya",""
"それと、このライブには
『笑顔』というテーマがある","Also, this concert has a theme called “smile.”","Oh, and for this gig.
There is a theme of ""Smile.","Also, this concert has
a theme called “smile.",""
"このテーマで君たちがどんなライブを
見せてくれるか、楽しみにしているよ！","I'm looking forward to seeing what kind of concert you guys can put on with this theme!","What kind of live performance you guys are going to do on this theme
I look forward to seeing what you show us!","I'm looking forward to seeing what kind of
concert you guys can put on with this theme!",""
"はい！","Yes!","Yes!","Yes!","Here!"
"（『笑顔』がテーマか。
しっかり考えていかないとな）","The theme is 'smile', huh? I need to think this through carefully.)""","(Is the theme ""Smile""?
I'll have to think this through.)","The theme is 'smile', huh? I need
to think this through carefully.)",""
"スゴイよ、真美！　全国ツアーだって！
みんなで全国回っちゃうっぽいよ！","Amazing, Mami! They say it's a national tour. It looks like everyone is going to go all over the country together","Mami, that's great! They're going on a national tour!
It seems like everyone is going around the country!","Amazing, Mami! They say it's a national tour. It looks like
everyone is going to go all over the country together",""
"絶対楽しいっしょ！　はい、兄ちゃんセンセー！
バナナはおやつに入りますか？","It'll definitely be fun! Here you go, Brother Sensei. Would bananas fit for a snack?","It's definitely fun, isn't it? Yes, brother-sensei!
Does a banana count as a snack?","It'll definitely be fun! Here you go,
Brother Sensei. Would bananas fit for a snack?",""
"傷むと怖いから、バナナは現地で買おうな","I'd be scared if it got damaged, so we should buy bananas on-site","I'm afraid of damaging them, so buy bananas locally.","I'd be scared if it got damaged, so we should buy bananas on-site",""
"あいあいさー！","Aye ay!","Aisa!","Aye ay!",""
