"――街中、巨大スクリーン前――","--In the city, in front of a jumbotron--","","","--In the city, in front of a jumbotron--",""
"……今日、９６１プロから新ユニットが
デビューするとの発表がありました！","... Today, 961 Pro. is announcing that a new unit will be 
making its debut!","","","... Today, 961 Pro. is announcing that a new unit will be 
making its debut!",""
"ユニット名は『ディアマント』","The unit's name is Diamant!","","","The unit's name is Diamant!",""
"気になるメンバーは、この３人です！","The members are made up of these 3 right here!","","","The members are made up of these 3 right here!",""
"玲音だ。突然の話で、
ファンのみんなは、驚いているかな？","Leon here. To all my fans out there,
this is quite an abrupt announcement. Did we surprise you?","","","Leon here. To all my fans out there,
this is quite an abrupt announcement. Did we surprise you?",""
"このユニットで、新しい世界を見せてあげる。
楽しみにしていてくれ！","With this unit, I will show you all a new world.
Look forward to it!!","","","With this unit, I will show you all a new world.
Look forward to it!!",""
"詩花です。ユニットで活動するのは初めてで、
とってもワクワクしています！","I'm Shika. This will be my first time working in a unit.
I am very, very excited!","","","I'm Shika. This will be my first time working in a unit.
I am very, very excited!",""
"みなさん。どうか私たちの応援、
よろしくお願いしますっ！","Everyone, we look forward to being with you,
so please support us!","","","Everyone, we look forward to being with you,
so please support us!",""
"えーっ、玲音と詩花が新ユニットデビュー！？
これって、ビッグニュースじゃん！！","Ehh, Leon and Shika are debuting in a new unit!?
That's big news, isn't it!!","","","Ehh, Leon and Shika are debuting in a new unit!?
That's big news, isn't it!!",""
"すごーい、さっそく友達に連絡しなきゃ！
ねぇ、もう一人の子も、すっごくカワイくない！？","Wow, I'll have to call my friends right away!
Hey, that other girl, isn't she pretty cute too!?","","","Wow, I'll have to call my friends right away!
Hey, that other girl, isn't she pretty cute too!?",""
"…………","............","","","…………",""
"そうなんです！　既にトップアイドルとして
ご活躍中の玲音さん、詩花さん","That's right! Leon-san and Shika-san are
already known as top idols.","","","That's right! Leon-san and Shika-san are
already known as top idols.",""
"そして……","And...","","","And...",""
"９６１プロの秘蔵っ子と噂の……","Rumored to be the newest 961 Pro. prodigy...","","","Rumored to be the newest 961 Pro. prodigy...",""
"『亜夜』さんです！","It's Aya-san!","","","It's Aya-san!",""
"え……！？
亜夜、ちゃん……？","Eh...!?
Aya-chan...?","","","Eh...!?
Aya-chan...?",""
"９６１プロの亜夜よ。あたしはまだ、歌や踊りも、
玲音さんや詩花さんには及ばないわ","This is Aya from 961 Pro. As of now, my singing and dancing
are not at Leon-san's and Shika-san's level.","","","This is Aya from 961 Pro. As of now, my singing and dancing
are not at Leon-san's and Shika-san's level.",""
"だけど、アイドルに対する熱い気持ちは、
誰にも負けないつもり！","But, my passion for idols, are second to none!","","","But, my passion for idols, are second to none!","But, my passion for
idols, are second to none!"
"だから、決して引けを取ったりはしないわ。
目指すのは、もちろんアイドルの頂点！","That's why I will never give up.
The only goal is to be at the peak of idols!","","","That's why I will never give up.
The only goal is to be at the peak of idols!",""
"いや～……すごい熱意ですね！
それぞれの意気込みが伝わってきました！","Wow~... that was intense!
I can feel the passion coming from each of you!","","","Wow~... that was intense!
I can feel the passion coming from each of you!",""
"目標は、『スターリットシーズン』の
最終ステージ。他のライブの予定は現在準備中よ","Currently, our goal is to be on the final stage of the Starlit
Season. Other live concerts are also being planned.","","","Currently, our goal is to be on the final stage of the Starlit
Season. Other live concerts are also being planned.",""
"みんな、『ディアマント』の今後に、
期待しててちょうだい！","Everyone, look forward to it!
The future of Diamant!","","","Everyone, look forward to it!
The future of Diamant!",""
"…………。
亜夜ちゃん……","............
Aya-chan......","","","............
Aya-chan......",""
