"（もうすぐ１１月か……。
月末はいよいよ『最終選考会』だな）","","(It's almost November or .......
(The end of the month is finally the 'final round.')","","(It's almost November...
The end of the month is finally 『Final selection committee』.)",""
"（この『最終選考会』を通過したユニットが、
『スターリットドーム』のステージに立てる……）","","(The units that passed this ""Final Round"" are,
(You can be on stage in the ""Starlit Dome"" at ......)","","(The unit that passed 『Final selection committee』...
Standing on 『Starlit Dome』's stage...)",""
"（そして、年末の『クリスタルウィンター』で、
『スターリットシーズン』のＮＯ．１が決まるんだ）","","(And at the end of the year in ""Crystal Winter,
(It's all about the no. 1 pick in ""The Starlit Season."")","","(And at the end of this year, 『Crystal Winter』...
『Starlit Season』's number one spot will be decided.)",""
"（すでに１２月の新曲は発注してある。
最後のライブを見据えて行動しないとな）","","(I have already ordered new music for December.
(We've got to get our act together for that last gig.)","","(I've already ordered a new song from December.
We need to focus on the final concert.)",""
"（……もうすぐ、
『スターリットシーズン』は終わりか……）","","(...... soon,
Is the ""Starlit Season"" over? (......)","","(...Soon,
『Starlit Season』's over, huh...)",""
"（その後は――）","","(After that--)","","(After that―)",""
"（いや、今は考える必要はないか……。
俺には、目の前にやるべきことがあるはずだ）","","(No, you don't need to think about it now. ......
(I should have something to do right in front of me.)","","(No, there's no need to think about it right now...
There's something I need to do right in front of you.)",""
"（亜夜が復活したディアマントは強い。
今のルミナスでも勝てないかもしれない……）","","(The Diamant is strong, with a revived sub-night.
(Even the current luminous may not win: ......)","","(Aya's resurrected Diamant is strong.
Even Luminous might not be able to win...)",""
"（できることなら、ファンを魅了する、
新しいパフォーマンスを習得させたいな……）","","(Attract fans if you can,
I'd love to have them learn a new performance (......)","","(If possible, I'd like you to learn a new performance that will captivate the fans...)","(If possible, I'd like you to learn a new performance
that will captivate the fans...)"
"１０月の『ハロウィンオータム』の評判ですけど、
ＳＮＳではルミナスが一番良かったみたいですよ","","I have a reputation for ""Halloween Autumn"" in October,
Luminous seemed to be the best on social media.","","『Halloween Autumn』's reputation in October, but Luminous was apparently the best on social media.","『Halloween Autumn』's reputation in October, but
Luminous was apparently the best on social media."
"そうですか。呪われた歌などと言われてましたが、
自分たちのものとした、メンバーたちのおかげですね","","I see...they said it was a cursed song, etc,
Thanks to the members who made it their own.","","I see. They called it a cursed song, but they did so because of the members who made them theirs to sing with as well","I see. They called it a cursed song, but they did so
because of the members who made them theirs to sing with as well"
"ルミナスは個人としても、
ユニットとしても成長しましたね","","Luminous is also an individual,
We have grown as a unit.","","Luminous has grown both as an individual and a unit.","Luminous has grown both as
an individual and a unit."
"いいメンバーに恵まれたと思います","","I think we were blessed with good members.","","I think we've got some good members.",""
"そうですね。みんな一緒にここまで頑張って、
最近は笑顔も団結力も増えたように思います","","Yes, we all worked hard together to get to this point,
I think we have more smiles and unity these days.","","You're right. Everyone worked so hard together, and I think we have a lot more smiles on our faces these days as well...","You're right. Everyone worked so hard together, and I think
we have a lot more smiles on our faces these days as well..."
"音無さんにそう言ってもらうと嬉しいですね。
俺から見ても、頑張ってくれてると思います","","I am glad to hear you say so, Otonashi.
From my point of view, I think they're doing a great job.","","I'm happy to hear that from you, otonashisan.
Even from my perspective, I think he's doing his best.",""
