"（盛上さんが企画したロックフェスに来たけど、
すごい熱気だ……）","(Morikami-san came to the rock festival, but he's really into it...)","(I came to a rock festival organized by Mr. Morigami, though,
(It's so hot. ......)","(Morikami-san came to the rock
festival, but he's really into it...)",""
"（……あっという間に終演か。
よし、盛上さんに挨拶しに行こう）","(The show ends in the blink of an eye. Okay, let's go say hi to Morikami-san for now)","(......The show will be over in no time?
(Okay, let's go say hello to Mr. Morigami)","(The show ends in the blink of an eye. Okay,
let's go say hi to Morikami-san for now)",""
"お忙しいところ、失礼します。
あの、盛上さんでしょうか？","Excuse me for interrupting your busy schedule. Um, is that Morikami-san?","Excuse me for taking time out of my busy schedule.
Um, Mr. Morigami, is it?","Excuse me for interrupting your busy
schedule. Um, is that Morikami-san?",""
"誰……？","Who...?","Who ......?","Who...?",""
"すみません。
ご挨拶にお伺いしました","Excuse me. I'm here to say hello","Sorry.
I'm here to greet you.","Excuse me. I'm here
to say hello",""
"お初にお目にかかります。
プロジェクトルミナスのプロデューサーです","It's a pleasure to make your acquaintance. I am Producer of Project Luminous","I see you for the first time.
I'm Producer of Project Luminous.","It's a pleasure to make your
acquaintance. I am Producer of Project Luminous",""
"ああ、高木さんのところのか。
今日は社長は来なかったの？","Oh, you're with Takagi-san. Did the president not come today?","Oh, at Mr. Takagi's place?
Didn't the president come today?","Oh, you're with Takagi-san. Did
the president not come today?",""
"盛上さんのフェスは学ぶものが多いと勧められ、
チケットを社長に譲っていただきました","Morigami suggested that there was a lot to learn at the festival, so he gave me my ticket","He recommended Mr. Morigami's festival as a good place to learn,
Tickets were given to the president.","Morigami suggested that there was a lot to learn
at the festival, so he gave me my ticket",""
"今日のステージ、素晴らしかったです。どの演出も
初めて見るものばかりで……とても感動しました！","Today's performance was wonderful. All of the performances were new to me... I am so moved!","Today's stage was amazing, every production was.
I was very impressed with ...... as I had never seen anything like it before!","Today's performance was wonderful. All of the
performances were new to me... I am so moved!",""
"あ、そう。……話はそれだけ？
アタシ、とても忙しいんだけど？","Oh, I see... Is that all you wanted to talk about? It's really busy for me","Ah, yes. ...... Is that all there is to the story?
I'm very busy.","Oh, I see... Is that all you wanted to
talk about? It's really busy for me",""
"今日のフェスを見て、確信しました。
ぜひ、お話を聞いていただけないでしょうか？","After seeing the festival today, I'm sure of it. Would you be willing to listen?","After seeing today's festival, I am convinced.
Would you be willing to talk to us?","After seeing the festival today, I'm sure
of it. Would you be willing to listen?",""
"……","……","","……","......"
"我々は、プロジェクトルミナスという
アイドルユニットを立ち上げました","We launched an idol unit called Project Luminous","We are Project Luminous, a
We launched an idol unit.","We launched an idol unit
called Project Luminous",""
"盛上さん、
ルミナスの公演に協力してください！","Morikami, please cooperate with Luminous' performance!","Mr. Morigami,
Help Luminous perform!","Morikami, please cooperate
with Luminous' performance!",""
"休日もロクに取れないこの私に、立ち上げたばかりの
ユニットをプロモートしろですって？","Since I don't get many days off, you want me to promote the unit that just started?","I can't even take a day off, and I've just started up.
You want me to promote your unit?","Since I don't get many days off, you want
me to promote the unit that just started?",""
"アタシは即完売記録を更新中よ。それを止めるような
仕事を受けるメリットは何かあるの？","I'm setting a new record for selling out on the spot. Something to stop me from doing it? What good is there in taking that job, anyways ?","I'm setting a record for instant sell-outs, and I'm not about to let that stop me.
What are the benefits of taking the job?","I'm setting a new record for selling out on the spot. Something to stop
me from doing it? What good is there in taking that job, anyways ?",""
"盛上さんは、立ち上げたばかりのユニットでも
存在を輝かすプロモーターだと聞いてます","I've heard that Morigami is a promoter who shines brightly even in the newly established unit","Mr. Morigami is also a member of a unit that has just started up.
I'm told he's a promoter whose presence shines through.","I've heard that Morigami is a promoter who shines
brightly even in the newly established unit",""
"だから？","That's why?","So?","That's why?",""
"盛上さんのライブは、会場が輝いてました！
俺と一緒にルミナスを輝かせませんか？","Morikami-san's concert was so bright! Would you like to make Luminous shine with me?","The venue shone during Morigami's live performance!
Won't you join me in making Luminous shine?","Morikami-san's concert was so bright!
Would you like to make Luminous shine with me?",""
"誰も見たことのない輝きを作りたいんです！","I want to make a radiance that no one has ever seen before!","We want to create a brilliance that no one has ever seen before!","I want to make a radiance that no one has ever seen before!",""
"バカね、アンタ","You're such an idiot","You're an idiot, you know that?","You're such an idiot",""
"……ダメでしょうか？","...Is that a bad idea?","...... No?","...Is that a bad idea?",""
"でも、バカは嫌いじゃない","But I don't hate idiotics","But I don't mind stupidity.","But I don't hate idiotics",""
"えっ？","Huh?","What?","Huh?","Eh?"
"高木さんの見込んだプロデューサーってことか……。
あいかわらずのようね、あの社長さんは……","Takagi-san's expected him to be a producer, huh...? He seems the same as ever","So you're Mr. Takagi's prospective producer. ......
Looks like that president is still the same. ......","Takagi-san's expected him to be a producer,
huh...? He seems the same as ever",""
"アンタにチャンスを与えてあげてもいいわ","I don't mind giving you a chance","I'm willing to give you a chance.","I don't mind giving you a chance",""
"……もう少しそのルミナスって子たちがメジャーに
なったら、話を聞く時間を割いてあげてもいいけど？","...If those Luminous girls become major players a little longer, I'll give you some time to listen","...... a little more of those luminous kids to the majors.
If you do, I'd be happy to take the time to listen to you, if you'd like.","...If those Luminous girls become major players a
little longer, I'll give you some time to listen",""
"わかりました。
ルミナスの人気を上げたら、また伺います！","Understood. I'll come back when Luminous is more popular!","I understand.
We will visit again when Luminous gains popularity!","Understood. I'll come back when
Luminous is more popular!",""
"じゃ、アタシは次の仕事があるんで","Well, I have another job to do","Well, I have another job.","Well, I have another job to do",""
"（ルミナスを今よりメジャーにする、か……。
まずはファン人数を増やすところからかな……）","(We're going to make Luminous a major player, huh...? I guess we should start by increasing the number of fans.)","(Make Luminous more major than it is now, or .......
Maybe we can start by increasing the number of fans (......)","(We're going to make Luminous a major player, huh...? I
guess we should start by increasing the number of fans.)",""
"盛上さん。お忙しいところ時間を作っていただき、
ありがとうございます","Mr. Morikami, thank you for taking time out of your busy schedule to help me with this","Mr. Morigami, thank you for taking time out of your busy schedule,
Thank you.","Mr. Morikami, thank you for taking time out
of your busy schedule to help me with this",""
"……で、どうなの？
できるだけ手短にお願いしたいんだけど","...So, what do you think? I'd like it to be as brief","How about at ......?
I'd appreciate it if you could be as brief as possible.","...So, what do you think?
I'd like it to be as brief",""
"ルミナスの最近の実績をまとめた資料です。
こちらを見てもらえますか？","This is a summary of Luminous' recent achievements. Would you like to look at this?","This document summarizes Luminous' recent performance.
Can you take a look at this one?","This is a summary of Luminous' recent
achievements. Would you like to look at this?",""
"ふうーん……ま、ノビシロはあるってコトね。
最初の報告としては、まあまあといった所かしら","Hmm... I-I guess that means there's Nobishiro. As far as the first report goes, it should be fine","Hmmm......... Well, I guess that means I have a lot of potential.
I guess that's about right for a first report.","Hmm... I-I guess that means there's Nobishiro. As
far as the first report goes, it should be fine",""
"はい、ルミナスは以前とは比べ物にならないくらい
歌もダンスも上達し、ファン人数も増えています","Yes, Luminous is far better at singing and dancing than she used to be. She has a lot more fans now..","Yes, Luminous is so much better than before.
The number of fans has been increasing as the singing and dancing have improved.","Yes, Luminous is far better at singing and dancing
than she used to be. She has a lot more fans now..",""
"でも、このアタシが興味を持つに値するアイドルには
遥かに遠いわ。目指すのは、もっとメジャーよ！","But I'm far from an idol worth being interested in. My goal is to become a major player!","But for the idol who deserves my interest.
It's a long way away, and I'm aiming for something more major!","But I'm far from an idol worth being
interested in. My goal is to become a major player!",""
"……俺もそう思います！　だから盛上さん、
どうしたらいいのかアドバイスをいただけませんか？","I think so, too! So could you give me some advice on what to do?","......I think so too! So, Mr. Morigami,
Can you please advise me what to do?","I think so, too! So could you
give me some advice on what to do?",""
"随分とストレートね……。
まっ、そういうバカなところが、面白いのよね","That's pretty straightforward. Well, that kind of stupidity is what makes it so interesting to see you like this in the first place""","That's pretty straight forward. ......
Well, it's that kind of stupidity that makes it interesting.","That's pretty straightforward. Well, that kind of stupidity is what
makes it so interesting to see you like this in the first place",""
"いいわ、協力してあげる","All right, I'll help you","Okay, I'll help you.","All right, I'll help you",""
"公演のアドバイスや興行主への一声もしてあげる。
ただし……アタシが納得したら、ね","I'll give you some advice on the performance and a few words of encouragement for your show. But... if that makes sense to me, okay?","I will also give advice on performances and give one voice to the box office.
But only if ...... Atashi is satisfied.","I'll give you some advice on the performance and a few words of encouragement
for your show. But... if that makes sense to me, okay?",""
"教えてください。
できることなら、何でもやります！","Please tell me. I'll do whatever it takes!","Tell us about it.
We will do whatever we can!","Please tell me. I'll
do whatever it takes!",""
"ステージをこなし、ファンを増やしなさい。
その中でなにをしたのか？　なにを思ったのか？","Carry out the stage, and increase your fans. What did you do in there? And what was it that made all of this go down so smoothly..","Do the stages and build up your fan base.
What did you do? What did you think?","Carry out the stage, and increase your fans. What did you do in there?
And what was it that made all of this go down so smoothly..",""
"それが面白かったら、協力してあげる","If it's interesting, I can help you","If that's fun, I'll help you.","If it's interesting, I can help you",""
"……盛上さんが面白いと感じること。
それを考えろということですか？","...Something you find interesting, Morikami-san. You want me to think about that?","...... that Morigami finds interesting.
Is that what you're asking me to think about?","...Something you find interesting,
Morikami-san. You want me to think about that?",""
"まあ、そうなんだけどヒントぐらいは出してあげる。
高木さんに恩もあるしね","That's true, but I can at least give you a hint. Takagi-san is indebted to me too","Well, yes, but I'll at least give you a hint.
I owe Mr. Takagi a debt of gratitude.","That's true, but I can at least give you
a hint. Takagi-san is indebted to me too",""
"本当ですか！
ありがとうございます！","Really? Thank you so much!","Really?
Thank you very much!","Really? Thank
you so much!",""
"公演ってのは大金が動くの！　人生賭けた仕事なの！
もっともっと、もっと考えなさいよ！　わかる？","A performance is a big deal! It's my life on the line, you know that? You need to think about it more","Performances are a big money business!
Think more, think less, think more! Do you understand?","A performance is a big deal! It's my life on the
line, you know that? You need to think about it more",""
"はい、面会時間終了。次の仕事に行かなきゃ","Okay, visiting hours are over. I've got to get on with my next job","Okay, visiting hours are over, I have to go to my next job.","Okay, visiting hours are over. I've got to get on with my next job",""
"今日はありがとうございました。
それでは、失礼します","Thank you very much for today. I'll be taking my leave, then","Thank you for your time today.
Now, if you'll excuse me.","Thank you very much for today.
I'll be taking my leave, then",""
