"（音無さんの言ってた『伝説のレッスンメニュー』、
なんとしても教えてもらわないと……）","(I need to get Otonashi-san's “Legendary Lesson Menu” taught me, no matter what...)","(The ""legendary lesson menu"" that Otonashi mentioned,
(You have to tell us at all costs. ......)","(I need to get Otonashi-san's “Legendary
Lesson Menu taught me, no matter what...)",""
"ようこそ！
トレーナーの北江　輝也です","Welcome! I'm Trainer Teruya Kitae","Welcome!
This is trainer Teruya Kitae.","Welcome! I'm
Trainer Teruya Kitae",""
"初めまして。プロジェクトルミナスの
プロデューサーです。本日はよろしくお願いします","Nice to meet you. I'm Producer of Project Luminous, and it was a pleasure working together today","Nice to meet you, Project Luminous.
I'm Producer, and I'm looking forward to working with you today.","Nice to meet you. I'm Producer of Project
Luminous, and it was a pleasure working together today",""
"こちらこそ、よろしく。ルミナスのレッスンの件、
高木社長からお聞きしていますよ","Nice to meet you, too. President Takagi told me about Luminous's lessons and how they went over them together with the rest of your friends here at Mishelam Wonderland""","Nice to meet you too, about the Luminous lesson,
President Takagi has told me about you.","Nice to meet you, too. President Takagi told me about Luminous's lessons and how they
went over them together with the rest of your friends here at Mishelam Wonderland",""
"はい！　
有名なトレーナーの方に相談できるなんて心強いです","Yes! It's good to have a famous trainer here for advice","Yes!
It's reassuring to be able to consult with a renowned trainer.","Yes! It's good to have a
famous trainer here for advice",""
"実はもうアイドルのトレーナーは
やめちゃってたんですけどね……","Actually, I've stopped being an idol trainer..","In fact, the trainer of the idol is already
I had to stop. ......","Actually, I've stopped
being an idol trainer..",""
"でも、高木社長からの依頼とくれば、
断る事はできないですよ","But I can't refuse a request from President Takagi","But if President Takagi asked me to do it,
You can't say no.","But I can't refuse a request
from President Takagi",""
"ありがとうございます！　では、早速なのですが、
レッスンのメニューについて相談を……","Thank you very much! Now then, let's get right to the point. I need your advice on what we should do for our lesson..","Thank you very much! So, let me get right to it,
Consult with us about the menu of lessons at ......","Thank you very much! Now then, let's get right to the point.
I need your advice on what we should do for our lesson..",""
"急いては事を仕損じる。
レッスンは日々の積み重ねが大切です　","If you hurry, things will go wrong. It's important for your lessons to build up over the course of each day","Haste makes waste.
Lessons are important on a daily basis!","If you hurry, things will go wrong. It's important for
your lessons to build up over the course of each day",""
"積み重ねが大切……。
たしかに、そうですね……","It's important to build things up over time. I suppose you have a point there, after all...""","It's all about accumulation. ......
Yes, that's true. ......","It's important to build things up over time. I
suppose you have a point there, after all...",""
"そのための、アイドルにとって大切な
レッスンの要素があります","To that end, there are important lessons for idols","For this reason, it is important for idols
There is an element of lesson","To that end, there are
important lessons for idols",""
"まず、肺活量を高める呼吸筋、
リズム感に重要な体幹、体型を維持する為の……","First, breathing muscles that increase lung capacity. The trunk of the body is important for rhythm and to maintain your physique..","First, respiratory muscles that increase lung capacity,
The core is important for rhythm and to stay in shape. ......","First, breathing muscles that increase lung capacity. The trunk of
the body is important for rhythm and to maintain your physique..",""
