"今日のステージは決まった……。
あとは、開演を待つだけだ","","Today's stage has been decided. ......
Now all we have to do is wait for the show to start.","","Today's stage has already been decided...
All that's left is waiting for the show to start."
"『スプリングナイト』のメンバーは決まった。
みんな、頑張れ！","","The members of ""Spring Night"" have been decided.
Good luck, everyone!","","The members performing for Spring Night have
already been decided. Good luck, everyone!"
"単独ライブのメンバーは決まった。
みんな、頑張れ！","","The members of the solo show have been decided.
Good luck, everyone!","","The members performing for the Singles Live 
have already been decided. Good luck, everyone!"
"初オーディションだ、しっかり学んでもらおう……。
あとは、開演を待つだけだ","","It's their first audition, let them learn well. ......
Now all we have to do is wait for the show to start.","","Let's make sure we learn from our first audition...
All that's left is waiting for the show to start."
"『ＨＥＬＬＯ☆アイドルフューチャー』の
メンバーは決まった。みんな、頑張れ！","","The ""HELLO☆Idle Future""
The members are set, good luck everyone!","","Members performing for HELLO☆Idol Future 
have already been decided. Good luck, everyone!"
"初フェスだ、しっかり学んでもらおう……。
あとは、開演を待つだけだ","","It's the first festival, let them learn it well. ......
Now all we have to do is wait for the show to start.","","Let's make sure we learn from our first festival...
All that's left is waiting for the show to start."
"『サマードルフィン』のメンバーは決まった。
みんな、頑張れ！","","The members of ""Summer Dolphin"" were decided.
Good luck, everyone!","","The members performing for Summer Dolphin 
have already been decided. Good luck, everyone!"
"夏祭りのミニライブのメンバーは決まった。
みんな、頑張れ！","","The members of the summer festival mini-live have been decided.
Good luck, everyone!","","The members for the Summer Festival Mini-live 
have already been decided. Good luck, everyone!"
"新しいパフォーマンスに挑戦する
メンバーは決まった。みんな、頑張れ！","","Tackling new performance challenges
The members are set, good luck everyone!","","The members for the new performance challenge
have already been decided. Good luck, everyone!"
"初メドレーだ、しっかり学んでもらおう……。
あとは、開演を待つだけだ","","It's the first medley, let them learn it well. ......
Now all we have to do is wait for the show to start.","","Let's make sure we learn from our first medley...
All that's left is waiting for the show to start."
"『アイドルサマー』のメンバーは決まった。
みんな、頑張れ！","","The members of ""Idol Summer"" were decided.
Good luck, everyone!","","The members performing for Idol Summer have 
already been decided. Good luck, everyone!"
"地方イベントのメンバーは決まった。
みんな、頑張れ！","","The members of the regional event were decided.
Good luck, everyone!","","The members performing for the local event 
have already been decided. Good luck, everyone!"
"『ハロウィンオータム』のメンバーは決まった。
みんな、頑張れ！","","The members of ""Halloween Autumn"" have been decided.
Good luck, everyone!","","The members performing for Halloween Autumn 
have already been decided. Good luck, everyone!"
"『中間ライブ』のメンバーは決まった。
みんな、頑張れ！","","The members of ""Interim Live"" were decided.
Good luck, everyone!","","The members for the midterm live have
already been decided. Good luck, everyone!"
"『最終選考会』のメンバーは決まった。
みんな、頑張れ！","","The members of the ""Final Round"" have been decided.
Good luck, everyone!","","The members performing for the final audition 
have already been decided. Good luck, everyone!"
"『配信ライブ・ディアクリスマス』の
メンバーは決まった。みんな、頑張れ！","","The ""Delivering Live Dear Christmas.
The members are set, good luck everyone!","","The members for the Dear Christmas live stream
have been decided. Good luck, everyone!"
"『クリスタルウィンター』のメンバーは決まった。
みんな、楽しんでこい！","","The members of ""Crystal Winter"" were decided.
Go have fun, everyone!","","The members performing for Crystal Winter
have already been decided. Have fun, everyone!"
"『ディアマントとのライブ対決』の
メンバーは決まった。みんな、頑張れ！","","The ""Live Showdown with Diamant""
The members are set, good luck everyone!","","The members for the live showdown against 
Diamant have been decided. Good luck, everyone!"
