"（真と事務所の備品買い出しの帰り道、
気分転換を兼ねて、ふたりで公園に散歩に来た）","","(On the way home from shopping for supplies for the office with Makoto,
(For a change of pace, the two of us went for a walk in the park.)","","(On the way home from shopping for supplies,
we came to take a walk in this park.)"
"やっぱり、緑のある所に来ると気持ちがいいな。
木陰で昼寝でもしたくなる……なんてな","","After all, it is nice to come to a place with greenery.
Makes me want to take a nap in the shade of a tree. ......","","It really does feel nice to go somewhere with greenery.
I just want to take a nap in the shade of some trees, that's all. Just kidding..."
"あー……そ、そう……です、ね","","Uh, ......, yes, it's ......, right?","","Ah... Y-Yeah, I guess you're right."
"ん？　どうした真。なんだか落ち着きがないが……。
なにかあるのか？","","Hmm? What's up, True... I'm feeling a bit restless, but I'm still at .......
What is it?","","Hm? What's wrong, Mako. You seem a little restless...
What's in there?"
"べ、別に、なにがってわけじゃないんですけど……！
ちょ、ちょっと、気になるっていうか……","","Not that there's anything wrong with that. ......
Wait, I mean, I'm just curious. ......","","I-It's not like that...!
I-I'm a little curious..."
"（……そういえば真は、あれが苦手だったな）","","(...... Come to think of it, True wasn't very good at that one.)","","(...Come to think of it, I'm not really good with that stuff.)"
"虫","","insect","","Mushi"
"犬","","snoop (i.e. a detective, a spy, etc.)","","Dog"
"俺","","I","","I..."
"そういえば、真は虫が苦手だもんな","","Come to think of it, true, I don't like bugs.","","Come to think of it, you're not really good with bugs."
"……そうなんです。こういうところに来ると
急になにか飛んでこないか、不安になっちゃって……","","......Yes, when you come to a place like this.
I was worried that something might fly in suddenly. ......","","...That's right. When I come to a place like this, it makes
me worried that something might suddenly fly over..."
"真は犬が苦手だもんな","","True, he's not very good with dogs.","","You're not good with dogs, after all."
"そうそう……って違いますよ！
雪歩じゃないんですから、犬は平気ですって！","","Yes, ...... is different!
He's not a snowflake, so he's fine with dogs!","","That's right... Wait, no!
I'm not Yukiho, so dogs are fine!"
"さては……俺を警戒してるんだろう？
なんてな！","","You're on the lookout for ...... me, aren't you?
Oh my god!","","You're... wary of me, right?
Just kidding!"
"え！？　ま、まさかなにかするつもりなんですか！？","","What? You're not going to do something?","","Huh?! Y-You're not going to do something like that, are you..."
"え、いやいや、なにもしないぞ！
ちょっとした悪ノリだったんだ……","","Eh, no, no, no, I'm not going to do anything!
It was a bit of a bad joke. ......","","Huh? No, no. I'm not going to do anything!
It was just a bit of an act..."
"まぁでも、たまにはこういうところで
のんびりするのも悪くないな","","Well, but sometimes in a place like this.
Not a bad idea to take it easy.","","Well, it's nice to
relax here once in a while."
"そうですね。
ボクも虫がいないとこなら、全然ＯＫです！","","
I'm totally OK with it, too, as long as it's bug-free!","","That's true.
I'm totally fine with it if there are no bugs here, too!"
"全く虫がいないってのは難しいけど、今度みんなで
ピクニックにでも行くか。もちろん虫除けを持ってな","","It's hard to be totally bug-free, but next time we all
Maybe we'll have a picnic...with bug repellent, of course.","","It's hard not to have bugs around, but maybe we should
all go on a picnic sometime. With bug repellent of course!"
"あ、それいいですね！　ボクも賛成です！
へへっ、楽しみだなぁ～！","","Oh, that's a good idea! I agree with you!
Hehe, I'm looking forward to it!","","Oh, that's a good idea! I agree with you there.
Heheh, I can't wait!"
