"お疲れ様、紬。
……なにをしてるんだ？","","Good job, Tsumugi.
...... What are you doing?","","Good work, Tsumugi.
...What are you doing?",""
"お疲れ様です……。あの、私がなにをしているか、
聞かないとわからないのですか？","","Thanks for your help. ....... Um, what am I doing?
Do you have to ask to know?","","Good work... Um, do I have
to ask what you're doing?",""
"この後のレッスンの開始時間まで、
待機しているに決まっているではないですか","","Until the start time of the lesson that follows,
Of course they are waiting!","","I'll be waiting until the
start of lessons, obviously.",""
"それとも、受け持っているアイドルの
レッスンの予定すら把握していないと？","","Or the idol you are taking on.
You don't even keep track of your lesson schedule?","","Or do you not even know the schedule
for your idol lessons?",""
"いや、すまない。
もちろん把握しているぞ！","","No, I'm sorry.
Of course we're aware of it!","","No, I'm sorry.
Of course I'm aware of that!",""
"それなら、よいのですが……","","If so, that's good. ......","","Well, that's good to hear...",""
"それで、紬。ルミナスの活動は順調か？","","So, Tsumugi, how is Luminous doing?","","So, Tsumugi. How's Luminous doing?",""
"はい……。
私なりに精一杯務めているつもりです","","
I am doing my best in my own way.","","Yes......
I'm trying to do my best.",""
"そうか。
紬が頑張ってくれているのならなによりだ","","Okay.
I'm glad you're doing your best Tsumugi.","","I see.
I'm glad that Tsumugi is doing her best.",""
"ありがとうございます……","","Thank you ......","","Thank you very much...",""
"……あの、私になにかご用があるのでしょうか？","","...... Um, can I help you?","","...Um, do you have some business with me?",""
"特に用ってわけでもないけど……。
話でもしないかと思って","","Not that it's for anything in particular, but you can find it at .......
I thought maybe we could talk.","","It's not like I have anything in particular to do...
I thought you might want to talk.",""
"話というのは、仕事に関係することでしょうか？","","By talk, do you mean work-related?","","Is this about work?",""
"いや、雑談って言ったほうがいいかな？
なんとなく、気ままな世間話でもと思ったんだけど","","No, I should say chatting.
Somehow, I thought we'd have some casual chitchat.","","No, maybe I should call it idle chatter?
Somehow, I thought we were just making small talk.",""
"なぜ、今、あなたと世間話をする必要が……？","","Why should I make small talk with you now ......?","","Why did I have to make small talk with you right now...?",""
"そんな難しく考えなくてもいいんだが……。
紬の好きなことや苦手なことの話とかさ","","It doesn't have to be that difficult. ......
Like talking about what you like and what you don't like about Tsumugi.","","You don't have to think so hard about it...
About things Tsumugi doesn't like or dislikes.",""
"それをプロデューサーと話したところで、
どのような意味があるのでしょうか？","","I just talked to Producer about that,
What does it mean?","","What's the point of talking
to a producer about it?",""
"まあ、コミュニケーションってやつだよ。
紬と世間話をして、最近の事を教えてほしいなって","","Well, it's called communication.
I was just making small talk with Tsumugi and wanted him to tell me what he's been up to lately.","","Well, it's just communication.
I want you to make small talk with Tsumugi and tell her about recent events.",""
"まさか、あなたは私のコミュニケーション能力に
問題があると疑って、試すつもりで……！","","No way, you're not my communicator.
I suspected there was a problem and went to ...... with the intention of trying it out!","","Don't tell me you thought I had a
communication problem, and wanted to test it out...!",""
"違う違う！
単純に紬と話がしたかっただけだよ","","No, no, no!
I simply wanted to talk to pongee.","","No, no!
I just wanted to talk with Tsumugi.",""
"……このあとレッスンもありますし、
スタジオに向かいたいのですが……","","...... I have a lesson after this,
I'd like to head to the studio: ......","","...I have lessons after this, so I'd
like to head for the studio...",""
"そうか……一生懸命なのは良いことだけど、
少しゆっくりしていったらどうだ？","","Well ...... it's good that you're trying so hard,
Why don't you slow down a little?","","I see... It's good that you put your heart
and soul into it, but why not take a break?",""
