"（オフの時間、改めて貴音と
プロジェクトルミナスについて話をした）","","(Off time, once again, with the noble
(We talked about Project Luminous.)","","(I talked to Takane about Project
Luminous again during my off-hours.)",""
"（真摯に話を聞いてくれる姿勢は
変わっていないようだ）","","(The sincere attitude of listening to me is
(It seems nothing has changed.)","","(She's still willing to listen to
me with all her heart and soul.)",""
"プロデューサーと再会しただけでも
嬉しいことですが……","","Just seeing Producer again.
I'm happy to hear that. ......","","I'm happy just to be reunited
with Producer, but...",""
"るみなすに選んでいただき、
また共に歩めるなんて、光栄です","","Rumi Nasu chose us,
I am honored to walk with you again.","","It's an honor to be able to
walk alongside you again","It's an honor to have you choose me, and
to be able to walk alongside you again"
"俺もまた貴音と一緒に仕事ができて、嬉しいよ","","I'm glad to be working with you again too, Takane.","","I'm happy to work with you again too, Takane.",""
"プロデューサーが不在の間、アイドルとして
より輝けるよう、私なりに精進を重ねてまいりました","","As an idol while Producer is away.
I have been making efforts in my own way to shine brighter.","","While Producer is away, I've been working
hard to make myself a better idol.",""
"今日までの成果を、このぷろじぇくとに
役立たせることが出来れば幸いです","","The results to date are presented here in this plojct.
I hope I can be of service.","","I hope I can make use of all the
results I've achieved so far",""
"ああ、よろしく頼むな。
期待しているぞ","","Yeah, nice to meet you, man.
I'm counting on you.","","Yeah, I'm counting on you.
I'm looking forward to it.",""
"はい。プロデューサーの期待に、
必ずや応えてみせましょう","","Yes, to Producer's expectations,
We will surely respond to you.","","Yes. I'll do my best to meet
Producer's expectations.",""
"そういえば、プロデューサーは異国へ
研修に行っていたのですよね","","Speaking of which, Producer went to a different country
You were there for training.","","By the way, Producer went to a
foreign country to train, right?",""
"ああ、そうだな。
アメリカで勉強してきたんだ","","Oh, yes.
I studied in America.","","Yeah, you're right.
I've been studying in America.",""
"いかがでしたか、
あめりか……という国は","","How was it?
The country of Amerika ...... is","","What do you think,
Amerika...?",""
"どのような国、どのような文化であったのか……
とても、興味があります","","What kind of country and culture was it? ......
I am very, very interested.","","What kind of country was it? What kind of culture was it?
I'm very interested.",""
"そうだなぁ……いろいろあるけど、
印象に残ったのは……","","Yeah, I know. ...... There's a lot going on,
I was impressed by ......","","Let's see... There's a lot going on,
but what stuck out to me was...",""
"エンタメ","","entertainment","","Entame",""
"食べ物","","food","","Food",""
"現地の人","","local people","","Locals",""
"やっぱりエンタメだな。
本場のミュージカルの迫力には圧倒されたよ","","It's still entertainment.
I was blown away by the power of a real musical.","","I knew it. She's got a thing for entertainment.
I was blown away by the intensity of a real musical.",""
"以前、あめりかはみゅーじかるの本場だと、
とれーなーに教えていただいたことがあります","","He once said that Amerika is the home of Myujikaru,
I have been taught by a torena","","Reina once told me that
Amerika is where Myujikaru is from",""
"やはりプロデューサーもそれを知っていて、
みゅーじかるに興味を抱かれたのですね……","","After all, Producer knows that,
I see that you have become interested in Myujikaru: ......","","So Producer knew that, too,
and was interested in Myuji Karu...",""
"参考までに、みゅーじかるのどのようなところが
良かったのか……教えていただけますか？","","For your reference, what is the point of Myujikaru
Can you tell me if it was good ......?","","Just for reference, could you tell me what
kind of things you liked about Myuji Karu",""
"こればっかりは、実際に生の舞台を見てほしい。
その方が、貴音の糧にもなると思うしな！","","I would like you to actually see a live stage for all this.
I think it would feed the nobility better!","","I'd like you to see this live.
I think it'll be more useful to feed the nobles that way!",""
"食べ物かな。
とにかくサイズが大きくて、何でも大盛りなんだ","","Food, I guess.
Anyway, it's a big size, and everything's a big serving.","","Is it food?
Anyway, it's big, and everything's big.",""
"あめりかの食事は、大盛りが基本なのですか……。
それは真、素晴らしき文化かと……","","Are the meals at Amerika based on large portions? ......
It is a true, wonderful culture. ......","","Is it normal for Amerika to eat large portions...?
I think it's a wonderful culture...",""
"日本に大盛りの文化が浸透し、
多くの店舗に根付くことを期待いたします","","The culture of large portions permeates Japan,
We hope it will take root in many stores.","","I hope that a large-scale culture will permeate
Japan and take root in many stores.",""
"はは、貴音の胃袋は相変わらず、健在なんだな","","Ha, your stomach is still as healthy as ever, huh?","","Haha, your stomach is as healthy as ever, Takane.",""
"現地の人かな。親切にしてくれる人が多かった","","Local people, I guess...many of them were nice to me.","","Locals, I think. Lots of folk were nice to me.",""
"故郷を遠く離れていると、
人の温かさがとてもありがたく感じますね","","He said he was far from home,
I'm so grateful for the warmth of people.","","When you're far away from home, I'm very
grateful for the warmth of people.",""
"そうだな。
より一層優しさが身にしみたよ","","Yes.
I've learned to be more kind.","","That's right.
You've made me feel even kinder.",""
"プロデューサーは多くのことを
研修で学んできたのですね……","","Producers have a lot to offer.
You've learned from the training: ......","","You've learned a lot from your
training, haven't you?",""
"プロデューサーがあめりかで経験されたこと、
もっとお聞かせください","","Producer's experience with Amerika,
Tell us more!","","I'd like to hear more about your
experiences as a producer.",""
"そうだな、普通に街中を歩くだけでも、違う文化圏
だと思ったし、他にも色々興味深いことはあったよ","","Yes, even just a normal walk around town, a different culture.
I thought it was, and there were a lot of other interesting things about it.","","Yeah, just walking around town like normal would be a different
cultural area, and there's a lot of other interesting things.",""
"ただ、日本食が恋しくなったり、
貴音やみんなの活躍が気になったりもしたな","","However, I sometimes miss Japanese food,
You sometimes wondered what Takine and everyone else was up to.","","It's just, I've missed Japanese food, and I've
been worried about Takane and everyone else.",""
"そのお気持ちはわかります。
私も遠いところから来ましたので","","I understand your feelings.
I've come a long way, too, so...","","I understand how you feel.
I've come a long way, too.",""
"だからこそ、プロデューサーが遠い地でも
私たちの活動を気にかけてくださっていたと知り……","","That's why, even when Producer is in a distant land
We are very happy to know that you cared about our activities and ......","","That's why I learned that Producer cared so
much about us, even though we were so far away.",""
"その想いに応えるべく、
ますます精進して参らねばと思う所存です","","In response to this desire,
I am determined to devote myself more and more to my work.","","In order to respond to those
feelings, I'm going to work even harder.",""
"貴音は努力家だな。俺も学んできたことを、
ルミナスのプロデュースに活かしていくつもりだ","","You are a hard worker, something I have also learned,
I'm going to use this to my advantage in producing Luminous.","","You're a hard worker, Takane. I plan on using
everything I've learned to produce Luminous",""
"はい、私も。ぷろじぇくとるみなす……、
必ずや、この務めを果たして参ります","","Yes, me too. plojktorimasu ......,
I will certainly fulfill this duty.","","Yes, me too. I'll be
sure to perform my duty","Yes, me too. 
I will definitely carry out this duty for Project Luminous"
"ありがとう、貴音。
メンバーと一緒に、頑張っていこうな","","Thank you, Takane.
Let's keep up the good work with the members.","","Thank you, Takane.
Let's do our best with the members.",""
"はい、異なる事務所の皆との交流が
良き刺激になるかと","","Yes, the interaction with everyone in the different offices.
I thought it would be a good stimulus.","","Yes, I thought it might be a good idea to
get to know everyone from different agencies.",""
"（俺も貴音の期待に応えられるよう、
頑張らないとな）","","(I also want to live up to your expectations,
(Gotta keep up the good work.)","","(I'll have to do my best to live
up to Takane's expectations.)",""
"（貴音と仕事が終わっての帰り道……）","","(On the way home after work with Takane: ......)","","(I'm on my way home after work with Takane...)",""
"こ、これは……！","","This is ......!","","Th-This is...!",""
"どうした、なにかあったのか？","","What's wrong? What's wrong?","","What's wrong? Did something happen?",""
"はい、非常に興味深い品を見つけました。
プロデューサーもご覧ください","","Yes, I found a very interesting item.
See also Producers","","Yes, I found something very interesting.
And look at Producer.",""
"お、新発売のカップラーメンか","","Oh, a new cup of ramen.","","Oh, a brand-new cup ramen.",""
