"あ、美術館のオーナーの方ですね。
本日の番組収録では、よろしくお願いします","","Oh, you are the owner of the museum.
I look forward to working with you on today's program recording.","","Oh, you're the museum owner.
I'm looking forward to recording today.",""
"こちらこそ、よろしくお願いします。
最上さんにお会いできるのを、楽しみにしていました","","It's nice to meet you too.
I was looking forward to meeting you, Mr. Mogami!","","I'm looking forward to working with you, too.
I've been looking forward to meeting you, Mogami-san",""
"ありがとうございます。オープン前の美術館を、
先取りレポートさせていただけるなんて、光栄です","","Thank you, for the museum before it opens,
I am honored to be able to report ahead of time!","","Thank you very much. It's an honor to have the privilege of reporting
on this museum before it opened for public viewing!",""
"精一杯、やらせていただきますので、
よろしくお願いしますっ！","","We will do our best,
Thank you very much!","","We'll do
everything we can to help!",""
"はは、元気があっていいですね。ところで、
最上さんにお願いしたいことがありまして……","","Haha, I like your energy, by the way,
I have a request for Mr. Mogami: ......","","Haha, you're full of energy. By the way... There is something
I would like to ask Mogami-san for help with...",""
"ぜひ、最上さんにも作品をひとつ、
描いていただけないでしょうか？","","I would love to have one of your works for Mr. Mogami,
Could you please draw it?","","Could you please draw one
of your works, too?",""
"え？　それは……嬉しいです。私、絵にはちょっと
自信があって。でも、何を描きましょうか？","","Eh? That's ...... glad to hear it, I'm a bit of a painter.
But what shall I paint?","","Huh? Well... I'm happy to hear that. But,
what should we paint for you guys again?",""
"モチーフは自由に選んでいただいて大丈夫です。
文字でも結構ですので！","","You are free to choose your own motifs.
Even a letter is fine!","","You're free to choose your motif.
I don't care if you write it down!",""
"分かりました。任せてください","","Okay, I'll take care of it.","","Understood. Leave it to me!",""
"でも……なにを描けばいいかな……。
あまりじっくり描く時間はなさそうだけど……","","But ...... what should I draw .......
I don't think I'll have time to take much time to draw it. ......","","But... what should I draw?
It doesn't look like we have much time to draw, though...",""
"頑張れば何とか……。うーん……迷います。
どうしたらいいでしょう、プロデューサー？","","I can manage ...... if I work hard. hmmm ...... I'm lost.
What should I do, producer?","","If I do my best, we'll be able to... Hmmm.
What are we going to do, producer?",""
"静香が何を描くか……か。
そうだな、悩みどころだが……","","What would Shizuka draw ......?
Yes, it's a problem. ......","","What Shizuka's going to draw...
That's right, there are a lot of things to worry about...",""
"『饂飩』という
文字を書く","","It's called ""udon"".
write letters","","Write the character
for 『Udon noodles』.",""
"頑張って動物の
絵を描く","","Good luck with the animals.
paint (draw) a picture","","I'll do my best to
paint animals.",""
"近くの花を
模写してくる","","Flowers nearby.
I'm going to go make a copy.","","I'm gonna go
copy some flowers.",""
"やっぱり
描くのを止める","","also
Stop drawing","","I'm going to
stop painting.",""
"静香なら『饂飩』という文字を書くのはどうだ？","","How about writing the word ""udon"" if you are Shizuka?","","If it's Shizuka, how about writing 『Udon noodles』?",""
"饂飩……それなら、心を込めて書けそうです！
やってみますね！","","Udon...... that would be a great way to write with all my heart!
I'll try!","","Udon noodles... I think that's something you can write with your heart!
I'll give it a try!",""
"ふう……あの、どうでしょうか？
紙いっぱいに書いてみましたが……","","Fu ...... Um, what do you think?
I wrote it on a full sheet of paper: ......","","*sigh*... Umm, what do you think?
I've filled up the paper, but...",""
"勢いがある、素敵な字ですね。
ぜひとも、当美術館に飾らせてください！","","It's a nice character, with a lot of momentum.
Please let them be displayed in our museum!","","What a lively handwriting.
I'd love to put it up in the museum!",""
"え……ほ、本当ですか！？　まさか美術館に、
飾ってもらえるなんて……ありがとうございます！","","What? ...... Really? No way, in a museum,
Thank you so much ...... for having it displayed!","","Huh... R-Really?! I didn't think they would put it
up in the museum. Thank you so much for your help!!",""
