"（ルミナスに協力してくれることになった
高垣楓さん……落ち着いた雰囲気の人だな）","","(They have agreed to help us with Luminous.
(Kaede Takagaki, ......, has a calm and serene atmosphere)","","",""
"それでは、高垣さん。
改めて、これからよろしくお願いします","","Now then, Mr. Takagaki.
Once again, thank you for your continued support.","","",""
"はい。こちらこそ、よろしくお願いします","","Yes, it's nice to meet you too.","","",""
"高垣さんがルミナスに協力してくれるのは、
心強いですよ","","Mr. Takagaki is willing to help Luminous,
That's reassuring.","","",""
"心強いなんて……とんでもないです。
ルミナスのみなさんのお力になれればと……","","It is ...... outrageous to say that it is reassuring.
I hope I can be of help to everyone in Luminous. ......","","",""
"そんな謙遜しないでください。
高垣さんの評判は、よく耳にしていますから","","Please don't be so modest.
I've heard a lot about Mr. Takagaki's reputation.","","",""
"……そうですか。ありがとうございます","","...... Okay, thank you.","","",""
"（うん、噂通りのクールな雰囲気の女性だ。
ただ、少し控えめな印象だな……）","","(Yeah, she's as cool as they say she is.
Just seems a bit understated. ......)","","",""
"あの、高垣さん。気になることがあったら、
何でも言ってくれると嬉しいです","","Um, Mr. Takagaki, if you have something on your mind,
I'd be glad to hear anything you have to say.","","",""
"これから、もっと高垣さんのことを
知っていかなければいけないので……","","From now on, I'm going to be more interested in Mr. Takagaki.
We need to know so ......","","",""
"でしたら、ひとつだけ……よろしいですか？","","If so, can I have one ......?","","",""
"あの、ルミナスのみなさんのことは、
下の名前で呼んでいるのに……","","Um, I'm not sure about you guys at Luminous,
I'm calling you by your first name and you're calling me by my first name. ......","","",""
"私のことは高垣さんとおっしゃっているのが、
気になってしまって……","","You are referring to me as Mr. Takagaki,
I was just curious. ......","","",""
"もしかして、高垣さんのことも
下の名前で呼んでほしい……ということですか？","","Perhaps you could also say that Mr. Takagaki
Do you mean you want me to call you by your first name ......?","","",""
"ええと……はい。ですが、私のことを苗字で
呼ぶ理由があるのかなと思いまして","","Uh, ...... yes, but you can refer to me by my last name.
I was just wondering if there was a reason to call you.","","",""
"とくに深い意味はなかったのですが、
ただ……","","There was no particularly deep meaning,
Just ......","","",""
"知り合った
ばかりだから","","We got to know each other.
because it's the only thing on earth","","",""
"大人っぽいから","","Because it's mature.","","",""
"自然と出ていた","","It came naturally.","","",""
"そういう
雰囲気だから","","such
Because of the atmosphere.","","",""
"まだ、あまり話をしていないのに、
下の名前で呼ぶのは馴れ馴れしいかと思いまして……","","We haven't talked much yet,
I thought it might be familiar to call you by your first name. ......","","",""
"あっ、そうでしたか。
私が余計な心配をしていただけ……みたいですね","","Oh, is that right?
Looks like I was just worrying about something else ......","","",""
"ですが、私もみなさんと同じように
呼んでいただけると……嬉しいです","","But I am like you all.
I'd be happy to call on you at ......","","",""
"分かりました。
では、ルミナスのみんなと同じように……","","I understand.
Now, like everyone else in Luminous: ......","","",""
"高垣さんが大人っぽいので、つい……","","Takagaki-san looks so mature that I just had to ......","","",""
"大人っぽい……。そうですね、ルミナスの
みなさんと比べると、年齢は高いほうですけど","","It's a very mature ....... Yes, it's luminous.
I am older than most of you, but","","",""
"それだけで気を使わなくて、大丈夫です。
私もみなさんと同じように接していただければ……","","Don't worry about that alone, it's fine.
If I could treat you all the same way, I would be happy to ......","","",""
"そうでしたか。
でしたら、呼び方を変えた方がいいですよね？","","Was that so?
If so, you should call them something else, right?","","",""
"自然と苗字で呼んでいましたね","","You naturally called him by his last name.","","",""
"意識していなかった……ということでしょうか？","","Do you mean ......, which I wasn't aware of?","","",""
"それでしたら、私もみなさんと
同じように呼んでもらえたらと……","","In that case, I would like to join you all.
I was hoping you could call it the same way: ......","","",""
"ルミナスのみんなと同じように呼べばいいんですね","","So we can call them the same as everyone else in Luminous.","","",""
"雰囲気的に、
苗字で呼んだ方がいいのかなって思いまして……","","Atmospheric,
I was wondering if I should call you by your last name: ......","","",""
"雰囲気、ですか……すみません。
私の方から、壁を作ってしまっていたんですね","","Atmosphere, is it ...... sorry.
I guess I had put up a wall on my end.","","",""
"俺の方こそ謝らせてしまって、すみません。
それなら、みんなと同じ呼び方で……","","I'm sorry for making you apologize on my part.
Then you can call it the same as everyone else: ......","","",""
"『楓さん』……でいかがですか？","","How about ""Kaede"" at ......?","","",""
"はい……。ありがとうございます","","Yes ....... Thank you!","","",""
"分かりました……では、楓さん。
改めて、これから一緒に頑張っていきましょう！","","Understood. ......, Mr. Kaede.
Once again, let's work together from now on!","","",""
"こちらこそ、よろしくお願いします","","It's nice to meet you too.","","",""
"『歌姫』と評される楓さんが協力してくれれば、
ルミナスも一層、輝きを増せると確信しています","","If only Kaede, who is described as a ""diva,"" would cooperate,
I am confident that Luminous will shine even brighter.","","",""
"歌姫……ですか","","Are you a diva ......","","",""
"あれ……？
そういう風に聞きましたけど、間違っていましたか？","","Is that ......?
I heard it that way, but was I wrong?","","",""
"いえ……そのように評価してくださる方もいます","","No, ...... some people appreciate it that way!","","",""
"そうですよね。歌姫の楓さんが加わってくれて、
ルミナスの輝きが更に増していくと確信しました！","","Yes, we are very happy to have the diva Kaede join us,
I was convinced that Luminous would shine even brighter!","","",""
"ご期待に応えられるかどうか、分かりませんが……","","I don't know if I can meet your expectations. ......","","",""
"精一杯、頑張ります。
よろしくお願いします、プロデューサー","","I will do my best.
Nice to meet you, producer.","","",""
"はい、改めてよろしくお願いします！","","Yes, thank you again!","","",""
"（ちょっとミステリアスなところがあるけれど、
これが楓さんの魅力なんだろうな……）","","(Though there is a bit of mystery to it,
(I guess this is what makes Kaede so attractive: ......)","","",""
"（ルミナスの頼もしい協力者だ！
彼女の魅力をさらに引き出していこう）","","(He is a reliable collaborator for Luminous!
(Let's make her even more attractive.)","","",""
"（次の仕事の前に、
楓さんと打ち合わせをするはずだったが……）","","(Before the next job,
(I was supposed to have a meeting with Kaede. ......)","","",""
"すみません。
こんな場所で打ち合わせになってしまって","","Sorry.
I'm sorry we had to have the meeting in a place like this.","","",""
"いいえ、気にしないでください。
どこのカフェも満員でしたからね","","No, never mind.
All the cafes were packed.","","",""
"それに、カラオケルームなら個室ですから、
周りを気にせずお仕事の話ができますね","","Besides, a karaoke room is a private room,
You can talk about your work without worrying about your surroundings.","","",""
"そうですね。もしかすると、カラオケって
打ち合わせに好都合かもしれませんね……","","Yes, perhaps karaoke is a form of
This may be a good time for a meeting. ......","","",""
"あっ、楓さん。ドリンクを選んでください。
はい、これがメニューです","","Oh, Kaede, please choose a drink.
Yes, this is the menu","","",""
"ありがとうございます。
それでは、お先に決めてしまいますね……","","Thank you very much.
Well, I'll let you be the first to decide. ......","","",""
"……フードメニューもドリンクメニューも、
オシャレなメニューがいっぱいありますね","","...... both food and drink menus,
There are so many stylish menus!","","",""
"そうですか。室内もキレイな感じですし、
オシャレなカラオケも増えたんですね","","I see...and the interior is beautiful as well,
More fashionable karaoke, too.","","",""
"メニューを見ていると、迷ってしまって……。
プロデューサー、お先にどうぞ","","I was looking at the menu and got lost. ......
Producer, after you.","","",""
"あっ、大丈夫です。俺はコーヒーで","","Oh, that's okay, I'll have a coffee.","","",""
"コーヒーですか……決めるのが早いんですね","","Is it coffee? ...... You're quick to decide.","","",""
"打ち合わせの時は、無難かと思って
だいたいコーヒーにしているんです","","At the meeting, I thought it was a safe bet.
I generally make coffee.","","",""
"そうでしたか。それでは私は……。
うーん、オシャレな飲み物が多くて悩みます","","Oh, right, so I am .......
Hmmm, so many stylish drinks to worry about!","","",""
"あ、あの……楓さん。
そのページはお酒のメニューですけど……","","Oh, that ...... maple.
That page is a menu of alcoholic beverages, but you can find it at ......","","",""
"えっ……？　あっ、本当ですね。
てっきりジュースのページだと……","","What, ......? Oh, it's true.
I thought it was the juice page ......","","",""
"でも、いろんなお酒の種類があるんですね。
見た目もカラフルでオシャレですね","","But there are so many different kinds of alcohol.
It looks colorful and stylish.","","",""
"そうですね。
見ているだけでも、楽しい気分になってきます","","Yes, it is.
Just looking at it makes me feel happy!","","",""
"では、私は……そうだ。プロデューサーが
好きな飲み物を教えていただけませんか？","","Then I am ...... yes, Producer is.
Could you tell us what your favorite beverage is?","","",""
"なにを頼もうか決まらないので、
ヒントにさせてもらおうかと……","","I can't decide what to ask for,
I thought I'd give you a hint: ......","","",""
"そうですね。特に好きな物もありませんが、
あえて言うなら……","","Yes, I don't really like anything in particular,
Dare I say it: ......","","",""
"コーヒー","","coffee","","Coffee.",""
"ジュース","","juice","","Juice",""
"水","","water (esp. cool, fresh water, e.g. drinking water)","","Water",""
"俺と同じコーヒーはどうですか？　コーヒーには、
集中力を高める効果があるみたいですよ","","How about the same coffee as me? For coffee,
It seems to help with concentration.","","",""
"そうなんですね。
でしたら、私もコーヒーにします","","I see.
If so, I'll have coffee too!","","",""
"実は、さっきお酒のメニューで、
コーヒーリキュールのカクテルが目に入って……","","Actually, just now on the alcohol menu,
Coffee liqueur cocktail caught my eye: ......","","",""
"コーヒーの香りに癒されたいと思っていたんです","","I've always wanted to be soothed by the aroma of coffee.","","",""
"そ、そうですか。
ではコーヒーをふたつにしましょうか","","Oh, I see.
Let's have two coffees, then.","","",""
"ジュースでしょうか。
果汁１００％だと健康にも良さそうですし","","Is it juice?
And 100% fruit juice sounds healthy.","","",""
"でも、ジュースといっても、
種類が豊富ですから……","","But even though it's called juice,
Because there is a wide variety of ......","","",""
"あっ、さっき見かけた、
『南国トロピカルジュース』にします","","Oh, I saw him earlier,
I'm going to make ""Tropical Juice"".","","",""
"カクテルにしたら、おいしそうな
フレッシュジュースだったので……","","It would be delicious in a cocktail.
It was fresh juice. ......","","",""
"そ、そうですか。ではコーヒーと、
南国トロピカルジュースにしましょう","","Well, okay, coffee and..,
Make it a tropical juice!","","",""
"水なんてどうですか。
こだわると意外と奥が深いって聞きますし","","How about water?
I hear it's surprisingly deep if you stick to it.","","",""
"水……ミネラルウォーターの味は、
繊細だと聞きます","","Water ...... mineral water tastes like,
I hear it's very sensitive.","","",""
"水割りを作る時も、ミネラルウォーターで
味が左右されるそうですからね","","Even when making a water mix, use mineral water.
I've heard that the taste is affected by it.","","",""
"水割り……ですか。
とりあえず、飲み物の注文をしますね","","Is the water split ......?
In the meantime, I'll order some drinks.","","",""
"（楓さんとの打ち合わせは順調に進み……）","","(The meeting with Kaede went well and ......)","","",""
"……では、打ち合わせしたい内容は以上です","","At ......, that's all we want to discuss!","","",""
"はい、ありがとうございました","","Yes, thank you very much.","","",""
"あの、ひとつ質問なんですが、
楓さんはお酒がお好きなんですか？","","Um, I have one question,
Do you like to drink, Kaede?","","",""
"はい、好きですけど……。
どうしてそのことを？","","Yes, I like it, but you can find it at .......
How did you know about that?","","",""
"さっき、注文した飲み物を、
お酒と関連付けたことを言っていたので","","I just ordered a drink,
He said something about associating it with alcohol.","","",""
"……私、そのようなことを言っていましたか？","","...... me, did you say something like that?","","",""
"そ、そうですね。
言っていたような気がします……","","Yes, that's right.
I think you said it: ......","","",""
"いけませんね。打ち合わせもお仕事ですから、
気を引き締めないと……失礼しました","","I shouldn't, because meetings are part of my job,
I need to get my act together. ...... Excuse me.","","",""
"いいえ、そんなことないです。
楓さんの好きなことを知れて良かったです！","","No, it is not.
It is good to know what you like to do, Kaede!","","",""
