"（翼の収録が終わり、
昼食を取るためレストランにやって来た）","","(The recording of wings is over,
(They came to a restaurant for lunch.)","","(After recording Tsubasa, I
came to the restaurant for lunch.)"
"あっ、ビーフステーキがある！　おいしそう～♪
焼き方が選べるんですけど、どれがいいですか～？","","Oh, there's beefsteak!
I have a choice of baking methods...which one do you prefer~?","","Oh, there's beef steak! It looks yummy ♪
I can choose how to cook it. Which one do you want?"
"そうだな、好みにもよるが……","","Yes, it depends on your taste. ......","","Yeah, it depends on what you like..."
"レア","","rare","","Rare"
"ミディアム","","medium","","Medium"
"生","","unprotected (i.e. not wearing a condom)","","Raw"
"レアはどうだ？　肉が固くなりすぎず、
旨味成分がたっぷり詰まった肉汁を楽しめるぞ！","","How about rare? The meat is not too tough,
You can enjoy the juices filled with flavorful ingredients!","","How about rare? The meat won't get too hard, and you
can enjoy the juices full of umami ingredients!"
"一番おいしく食べられるってことですよねー！
それじゃあ、レアにします。ふふっ、楽しみ♪","","It means you can eat the most delicious food!
I'll make it rare then...phew...fun!","","It means you'll be able to eat the most delicious food!
。In that case, I'll make it rare. Heheh! Looking forward to seeing what you have in store for me today。♪"
"ミディアムでちゃんと火を通した方がいいぞ。
お腹壊すと良くないしな！","","You'd better make sure it's medium and properly cooked.
And it's not good if it upsets your stomach!","","You'd better heat it up properly with medium.
It's not good to get a stomachache!"
"お腹壊しちゃうのは嫌です～。
じゃあ、ミディアムにしよっかなぁ","","I don't want to get a stomach ache!
I think I'll go for medium then.","","I don't want to get a stomachache.
Well, maybe I'll go with medium."
"ここは思い切って、生で頼んでみたらどうだ？
意外とイケるかもしれないぞ！","","Why don't you go out on a limb here and ask for it raw?
You might be surprised how good looking you can be!","","Why don't you take this chance and ask for it raw?
This might actually work!"
"え～、それ本気で言ってるんですか？
ダメですよ！　今日はレアにしますっ","","Oh, are you serious about that?
No, you can't! I'll make it rare today!","","Whaaat? You're serious about that!
No way! I'll make it rare today!!"
"ふう、お腹いっぱい！　ごちそうさまでした～！
またご馳走してくださいね♪","","I'm so full! Thank you for the food!
Please treat me again... ♪","","Phew, I'm stuffed! Thanks for the food~
Please treat me again sometime.♪"
"そうだな、翼がレッスンを頑張ったらな","","Yes, if the wings work hard on their lessons.","","Yeah, if Tsubasa does her best with the lesson."
"ええ～、レッスンは面倒っていうか～……。
そこまで頑張らなくてもいいっていうか……","","Yeah - it's not like lessons are a hassle - .......
You don't have to work that hard. ......","","Whaaat? Lessons are such a pain...
You don't have to work so hard..."
"でも、体を動かしてから食べた方が、おいしいぞ。
お肉はおいしく食べたいだろ？　","","But it tastes better if you eat it after you've worked out.
You want your meat to taste good, right?","","But it's better to eat after you get some exercise.
You want to eat meat, don't you?"
