"……お、あそこにいるのは甜花だな。
おーい！　甜花、おはよう！","","...... Oh, that's a beet blossom over there.
Hey, beetroot, good morning!","","...Oh, isn't that Tenka over there?
Heeeeey! Good morning, Tenka!",""
"あうっ！　……ぷ、プロデューサーさん……？
おはよう、ございます……","","Aww! ...... pu, producer ......?
Good morning. ......","","Ahh! P-Producer-san...?
Good... morning...",""
"わ、悪い、驚かせてしまったな……。
甜花、その……ルミナスでの活動はどうだ？","","Wow, my bad, you startled me. ......
Beet, how are you doing with that ...... luminous?","","S-sorry if I startled you... 
Tenka, how are activities for Luminous going?",""
"る、ルミナスの……？　えっと……
人が……たくさん、いるの……緊張、するけど……","","I'd like to see ...... of Luminous? Um... ......
There are ...... a lot of people ...... nervous, but ......","","L-Luminous...? Umm...
There's... a lot... of people... it's nerve-racking...",""
"みんなと……仲良く、なれるように……
甜花、頑張る、ね……","","I hope to get along and be ...... good friends with everyone. ......
Beet Hana, good luck, right: ......","","In order to... be friends... with everyone...
Tenka... will try her best...",""
"そうか。その気持ちがあれば、きっと甜花なら仲良く
なれるよ。それじゃ、事務所まで一緒に行こうか","","Well, if you have that feeling, I'm sure Beet Hana would get along with you.
I can be...then let's go to the office together.","","Good. I'm sure you'll be able to get along with 
them. Well, let's head to the office together.",""
"う、うん……
にへへ、プロデューサーさんと、一緒……","","Umm, yeah ......
Nhehe, with Producer: ......","","M-Mmm...
Ni hehe, together with Producer-san...",""
"おお、甜花、おはよう。
こんなところで会うなんて、奇遇だな","","Oh, beet blossom, good morning.
Odd that we meet at a place like this.","","Oh Tenka, good morning.
I didn't expect to meet you here.",""
"おはよう……。にへへ……プロデューサーさんと、
会えた……。今日は……いい日……！","","Good morning ....... nihee ...... with Producer,
We met ....... Today is ...... a good day ......!","","Morning... Ni hehe... I found... Producer-san...
Today... is a good day...!",""
"はは、ありがとう……とゆっくりしたいところだけど
そろそろ急がないと遅刻だな、甜花も一緒に行くか？","","Haha, thanks ...... and I'd love to take my time.
It's time to hurry up, we're going to be late. Do you want to go with us, Beet Hana?","","Haha, thanks... I want to take my time, but we're 
almost late. Do you want to walk with me?",""
"う、うん！　甜花、頑張る……！
プロデューサーさん……はやく、事務所、行こ……！","","Ummm, yes! Beet Hana, good luck. ......
Producers ...... quickly, office, go ......!","","Mmm! Tenka... will do her best...!
Producer-san... let's hurry... to the office...!",""
"おお、そ、そこまで走らなくても……って、ん？
甜花、急に立ち止まって……どうしたんだ？","","Oh, well, you don't have to run that far, ......, hmm?
Beet, you suddenly stopped and ...... what's going on?","","You don't have to run, you know?
Tenka suddenly stopped... What's wrong, Tenka?",""
"あう……ぷ、プロデューサー、さん……
甜花、ＨＰ……使い切った……","","Au......p, producer, Ms. ......
Beet Hana, HP...... used up......","","Ugh... P-Producer-san...
Tenka's... HP... has depleted...",""
"え！？　だ、大丈夫か？　無理しなくていいからな。
甜花のペースで歩いていこう","","You don't have to force yourself.
Let's walk at the pace of the sugar beet.","","Eh!? A-Are you okay? You don't have to 
overdo it. Let's walk at your pace then.",""
"あうぅ……たくさんゲームしてたから……
寝不足だったかも……ごめんなさい…………","","Ahhhh ...... because I was playing so many games ......
Maybe I didn't get enough sleep. ...... sorry ............","","Ughh... Maybe Tenka didn't sleep enough...
from gaming too much last night... Sorry...",""
"ふう、今日もなんとか仕事が片付いたぞ","","Whew, I managed to get some work done today.","","Whew, I managed to get the job done for today.",""
"プロデューサーさん……お仕事、終わった？
今、平気……？","","Producers ...... work, are you done?
Are you okay now ......?","","Producer-san... are you done... with your work?
Do you... have time now?",""
