"（次の仕事に向かう楓さんに、
付き添うことにした……）","(I decided to accompany Kaede on her next job...)","(To Kaede, who is on her way to her next job,
(I decided to chaperone ......)","(I decided to accompany
Kaede on her next job...)",""
"大通りの先に見えるビルが、
次の仕事場所ですね","The building at the end of Main Street is where you'll be working next","The building can be seen at the end of the main street,
Next place to work.","The building at the end of Main
Street is where you'll be working next",""
"ありがとうございます。この辺りは、
まだ分からない道も多かったので、助かりました","Thank you very much. There were a lot of roads around here that I didn't know about yet, so it was helpful","Thank you...around here,
There were still many roads I didn't know, so it was a great help!","Thank you very much. There were a lot of roads around
here that I didn't know about yet, so it was helpful",""
"慣れないうちは仕方ないですよ。
これから覚えていきましょう","It can't be helped if you don't get used to it. Let me remember from now on","It takes some getting used to.
Let's learn it from now on.","It can't be helped if you don't get used
to it. Let me remember from now on",""
"はい。
それでは行ってきますね","Okay. I'll be going now, okay?","Yes.
Well, I'll be off then.","Okay. I'll be
going now, okay?",""
"（……ん？
楓さんが男性に話しかけられているぞ）","(...Hm? Kaede-san is talking to a man.)","(...... hmm?
(Kaede is talking to a man!)","(...Hm? Kaede-san is
talking to a man.)",""
"駅までの道、ですか？
私もこの辺りは不慣れでして……","The road to the station, you say? I'm not familiar with this area myself..","The road to the station, is it?
I'm not familiar with this area either. ......","The road to the station, you say? I'm
not familiar with this area myself..",""
"すみません、プロデューサー。
こちらの方が、駅への行き方が分からないそうで……","I'm sorry, producer. It seems this way leads to the station..","Sorry, producer.
This one doesn't know how to get to the station: ......","I'm sorry, producer. It seems this
way leads to the station..",""
"駅ですか？
それでしたら……","The station? In that case..","Is it a station?
If that's the case, please contact ......","The station?
In that case..",""
"スマホで調べる","Look it up on your phone","Look it up on your phone","Look it up on your phone",""
"口頭で伝える","I'll tell you verbally","convey a message (e.g. to one's superior) orally","I'll tell you verbally",""
"交番へ案内する","I'll take you to the police box","I'll take you to the police station.","I'll take you to the police box",""
"分かりますよ。ただ、念のため、
スマホできちんと道順を調べてみますね","I know. But just to be sure, let me check the directions on my phone","I understand, just to be sure,
I'll look up the directions properly on my phone.","I know. But just to be sure, let me
check the directions on my phone",""
"（その後、スマホできちんと調べたおかげで、
男性に道をしっかり教えることができた……）","(After that, I looked it up on my phone and was able to show the way for a man...)","(Thanks to a proper research on my phone afterwards,
(I was able to teach the men the way well ......)","(After that, I looked it up on my phone
and was able to show the way for a man...)",""
"ありがとうございました。
相手の方も喜んでいましたね","Thank you very much. The other party was happy too, wasn't they?","Thank you very much.
I'm sure the other party was happy to see you.","Thank you very much. The other party
was happy too, wasn't they?",""
"そこの信号を右に、次の信号を左、
少し歩いて右に曲がると駅が見えてくると思います","Right there, left at the next light. If you walk a bit and turn right then your station will come into view","Right at the light there, left at the next light,
Walk a little and turn right and you will see the station.","Right there, left at the next light. If you walk a bit
and turn right then your station will come into view",""
"（俺の説明に不安そうな男性だったが、曲がった先で
案内板が見えたらしく、お辞儀をして去って行った）","(The man looked uneasy at my explanation, but he saw a sign around the corner and bowed before leaving.)","(The man seemed anxious about my explanation, but he was just around the bend.
(He saw the information board, bowed, and left.)","(The man looked uneasy at my explanation, but he saw
a sign around the corner and bowed before leaving.)",""
"きちんと駅を見つけられたようでよかったです。
私だったら、迷ってしまうかもしれません","I'm glad we were able to find a proper station. If it was me, I might get lost on the way here""","I am glad you found the station properly.
I'd probably be lost if I were you.","I'm glad we were able to find a proper station.
If it was me, I might get lost on the way here",""
"すぐそこに交番があるんで、
案内しましょう","There's a police box right over there, let me show you the way","There is a police box right there,
Let me show you around.","There's a police box right over
there, let me show you the way",""
"そうですね。お巡りさんにお願いしたほうが、
確実ですからね","You're right. It would be more certain to ask the policeman for help, after all","Yes, you should ask the officer,
It's a sure thing.","You're right. It would be more certain to
ask the policeman for help, after all",""
