"ええと、遺跡調査のＴＶ番組に雪歩が選ばれた、と","","Well, snowflakes were chosen for a TV program on archaeological sites.","","Let's see, Yukiho was chosen for the Ruin Investigation TV program."
"遺跡調査、ですか？
あの、どうして私なんでしょうか？","","Archaeological site survey, is it?
Um, why me?","","Investigate the ruins?
Um, why me?"
"資料によると……『穴掘りが得意な
萩原雪歩さんにぜひ！』と書いてあるな","","According to the document, ......, ""I'm a good hole digger.
You wrote, 'By all means, Snowy Hagiwara!","","According to the documents... 『Yukiho
Hagiwara-san, who's good at digging holes.』."
"あ、穴掘りが得意って……。それじゃあ
別に私じゃなくてもいいじゃないですか～！","","Oh, you said you're good at digging holes. ....... Okay then.
It doesn't have to be me!","","Oh, you're good at digging holes? Then
that means it doesn't have to be me!"
"まぁまぁ。この番組に出演できて活躍できれば
もっと知名度が上がると思うぞ","","Well, well, well...if I can be on this show and play an active role.
I think you'll get more publicity.","","Now, now. If you can appear on this show and make
a name for yourself it'll be even more famous!"
"うう……分かりました～。やるからには全力で、
日本の反対側まで掘り抜く覚悟で頑張りますぅ","","Uu...... understand~ I'll give it my all because I'm going to do it,
I'm ready to dig through to the other side of Japan!","","Ugh... I get it. If we're going to do this, then let me try my best and prepare myself for
digging into the other side of Japan with all that strength left over from today onward!"
"それでは、４つのポイントからどれか１つを
選んで発掘をしてみてください","","Now let's take any one of the four points.
Choose one and try to excavate it.","","Now, choose one of the
four points and try to dig."
"えっと……東西南北に分かれているんですね。
……東は、つい最近出土品が見つかったみたいですね","","Let's see, ...... is divided into east, west, north, south, and west.
...... east seems to have been unearthed just recently!","","Umm... It's divided into north, south and east parts.
To the east, it looks like they found something recently."
"西は、え？　ゆ、ＵＦＯの目撃情報があるって……。
うぅ……。南は、特に何もないみたいです","","West, eh? Yuh, there's been a UFO sighting at .......
Ugh ....... South doesn't seem to be anything special.","","To the west, huh? Y-you said there was a UFO sighting...
Ugh... There doesn't seem to be anything in particular south of here."
"北は、ど、動物の骨がたくさん見つかったって……！
な、何かありそうで怖いですぅ","","The north, which, I'm told, found a lot of animal bones. ......
I'm scared that something might happen.","","I-I heard they found a lot of animal bones in the north!
I-I'm scared that something might happen."
