"Ｐちゃん、おっつおっつ☆","","P-chan, whoa whoa whoa☆.","","P-chan, pops! ☆"
"お疲れ様、きらり。
今日も元気いっぱいで、良い感じだな","","Good job, Kirari.
You're looking good today, full of energy.","","Good work, Glittering.
You're full of energy today, too."
"もっちろん！　きらりん、ルミナスのメンバーに
選ばれて、気合ばっちしでおっすおっす！","","Of course! Kirarin, a member of Luminous!
I was chosen, and I'm fired up!","","Of course! I'm gonna do my best to be
chosen as a member of Luminous, Kirarin."
"やる気十分って感じだな。
きらりならメンバーともすぐ打ち解けられそうだ","","It's like you're fully motivated.
Kirari will be able to get along with the members easily.","","She seems to be full of enthusiasm.
I'll be able to get along with the members in no time if it means glaring."
"うぇへへ、もうみんなとは仲良しだよぉ♪
おかげさまで、毎日ハピハピだにぃ♪","","Hehehe, I'm already good friends with everyone...
Thanks to you, I'm happy everyday!","","Heheh, I'm already friends with everyone~
Thanks to you guys we get happy every day♪"
"仲良くやれているならなによりだ。メンバー同士の
仲が良いほど、パフォーマンスも向上するからな","","I'm glad you guys are getting along so well.
The better you get along, the better you perform.","","I'm glad to see you two getting along. The closer the members
get,the better your performance will improve as well"
"にょわっ！　そうなんだぁ～！　だったら、
きらりん、も～っとみんなと仲良くすりゅ！","","I see~!
Kirarin, get along better with everyone!","","Nyowah! Is that so? Then
let's be friends, Giraffein."
"にょわ……。すりゅ……。
きらりの言葉は独特だよな","","Nyowa ....... Suryu .......
Kirari's language is unique.","","Nyowah... Slurp.
The word glimmer is unique."
"うにゅ……きらりんのしゃべりかた、こーゆー
感じなんだけど、Ｐちゃんはわかってくれる？","","Unyu......Kirarin's way of talking, koyu
I'm feeling it, but do you understand me, P-chan?","","Unyu... The way you talk is like
this, P-chan. You get it?"
"ああ、なんとなくな。
きらりの話し方は、なんて言うか……","","Yeah, sort of.
What can I say about Kirari's way of speaking: ......","","Yeah, kind of.
How should I put this...?"
"個性的だと思う","","I think it's unique.","","I think it's unique."
"驚いただけ","","I'm just surprised.","","I was just surprised."
"困惑した","","I'm baffled.","","I'm confused."
"個性的ですごくいいと思うぞ。
アイドルに個性は欠かせない素質だからな","","I think you're very unique and very nice.
Personality is an essential quality for idols.","","I think it's very unique and wonderful.
Quirks are an essential trait for idols, after all."
"うきゃっ☆　Ｐちゃんに褒められちゃったぁ♪
きらりんハートがハピハピでい～っぱいだゆ！","","P-chan complimented me!
Kirarin hearts are full of happy hearts!","","Ukyaa☆ P-chan praised me♪ My
glittering heart is so happy!"
"これからも、きらりんの個性を
きゅきゅっとみがいて、ピカピカにしちゃうにぃ！","","We will continue to develop Kirarin's individuality.
I'm going to clean it up and make it shiny!","","From now on, I'm going to keep squeezing
out your Quirk and making it shine!"
"いや、驚いただけだ。
きらりは独創的な言葉を使うんだな","","No, I'm just surprised.
Kirari is so creative with her words.","","No, I was just surprised.
The sparklers use original words."
"うぇへへ、驚かせちゃってごめんね♪
でもでも、これがきらりんなんだよぉ！","","Hehehe, sorry I startled you... ♪
But this is Kirari!","","Heheh, sorry to surprise you♪
But I don't like this one bit!"
"もっともっとＰちゃんを驚かせて、
ルミナスをハピハピなユニットにしちゃうにぃ♪","","Surprise P-chan more and more,
I'm going to make Luminous a happy-go-lucky unit.","","I'm going to surprise P-chan even
more, and make Luminous a happy unit! ♪"
"ちょっと、困惑しただけだ……","","I'm just a little, confused: ......","","I'm just a little confused..."
