"お疲れ、プロデューサー。
ちょっと、聞きたいことがあるんだけど～","","Good job, producer.
Hey, I've got a question for you.","","Thanks for your hard work, Producer.
I want to ask you something~",""
"プロデューサーって、
アメリカ帰りなんでしょ？","","What's a producer?
You're back from America, aren't you?","","Producer, 
you just returned from America, right?",""
"ああ。少しの間だけど、
プロデュースの研修に行ってきたぞ","","Yeah, for a little while,
I've been to the Produce training.","","Yeah. I did just a while ago. 
I went there to improve my producing skills.",""
"ふぅん……なるほどねー。
これってもしかして、ビッグチャンス到来かも……？","","Hmmm ...... I see.
Could this be a big opportunity coming up ......?","","Hmmm...I see.
Could this mean a big opportunity for me...?",""
"プロジェクトルミナスを利用できれば……ふふっ。
楽してアイドル、アメリカ編も夢じゃない……！","","If you can use Project Luminous, you can go to ...... phew.
Idol for fun, the American version is not a dream. ......","","If I can make use of Project Luminous...hehe.
Maybe I can debut in America as an idol easily...!",""
"ん……？　何か言ったか？","","Hmm ......? What did you say?","","Hm...? Did you say something?",""
"ううん、気にしないで。こっちの話だから","","No, never mind, we're talking about this one.","","No, don't mind me. I was just talking to myself.",""
"ところでプロデューサー。
プロジェクトルミナスについて、詳しく教えてよ","","By the way, producer.
Tell me more about Project Luminous.","","By the way, Producer, could you tell me
more about Project Luminous in detail?",""
"詳しくって……もう話したと思うけど、
他に何について知りたいんだ？","","I think I already told you about ...... in detail,
What else do you want to know about?","","In detail...but I thought I've done that already.
What other things do you want to know?",""
"今後の展望ってやつ？　どこでライブをするとか、
どこでイベントを開くとか、いっぱいあるでしょ？","","You mean like a future outlook? Where are you going to perform live?
Where are you going to hold your events, or a whole bunch of them?","","What is our prospect in the future? Like where 
will we do live and events? Lots of places, right?",""
"何も日本国内にこだわらなくても、
世界中にアプローチするのもアリじゃない？","","You don't have to stick to Japan,
Isn't it possible to approach the whole world?","","We don't have to limit ourselves to Japan. Doing 
events all over the world is also good, right?",""
"なるほどね。
杏はスケールの大きいことを考えるんだな","","I see.
Apricots think on a grand scale.","","I see what you mean.
Anzu, you think about things in a great scale.",""
"まあね。ビッグなことをしたほうが、
一発の見返りが大きいと思うんだよね","","Well, you should do something big,
I think the payback on one shot is huge.","","That's right. If you do things in a big scale,
then you'll also receive big rewards, right?",""
"そういうことか……。
でも、志が高いのはいいことだな","","That's what I'm talking about. ......
But it's good to be ambitious.","","So that's what you're after....
Having a big dream itself is a good thing.",""
"ただ、今の目標はスターリットシーズンだ。
ルミナスの活動を見ながら、考えてみたいな","","But the goal now is a starlit season.
I'd like to see Luminous in action and think about it.","","But our objective now is the Starlit Season.
Remember this while working in Luminous.",""
"えー。せっかく有名な子がいっぱいいるんだから、
どーんと大きなことをやろうよ","","Well, there are a lot of famous kids here,
Let's do something big!","","Eeehh. There are lots of famous girls in our group
already, so let's do something big.",""
"たとえばアメリカでライブとかさ。
こういうことは早く決めておいた方がいいと思うな","","For example, a live concert in the U.S.
I think it's better to decide these things as soon as possible.","","Like having a live in America or other places.
I think we should decide on this quickly.",""
"善は急げって言うでしょ。だからさ、
とりあえずアメリカライブ、サクッと決めない？","","They say, ""The sooner the better,"" so you know,
In the meantime, why don't we make a quick decision on the U.S. Live?","","They say ""Strike while the iron is hot"", right?
So can we just schedule a live in America soon?",""
"サクッと、アメリカライブかぁ……","","Quick, America Live or ......","","Live in America soon, huh....",""
"いい目標だ","","Good goal.","","That's a good plan",""
"予算が……","","The budget is available at ......","","But the expenses....",""
"大きくていい目標だと思うぞ","","I think that's a big, good goal.","","Setting a big goal is a good thing, I believe.",""
"さすが、プロデューサー。話がわかるね。
このメンバーを活かさない手はないよね","","That's my producer, he knows what he's talking about.
There's no way we can't take advantage of these members.","","As I expected from Producer. You always find
a way to capitalize this member.",""
"小さな活動をコツコツとやるよりも、
一攫千金で大きいことを狙った方が効率的だよ","","Rather than just a steady stream of small activities,
It's more efficient to get rich quick and go for something big.","","Instead of a steady income by doing small things 
getting a get-rich-quick job is more efficient.",""
"それもひとつの手段かもしれないな。
とはいえ、ルミナスは始動したばかりだ","","That might be one way to go.
Nevertheless, Luminous is just getting started.","","That's one good plan. Although I have to remind 
you that Luminous has only begun working.",""
"予算がなぁ……。
ルミナスは大人数だし、渡航費だけでも大変だ","","I'm on a budget. ......
Luminous is a large group, and the travel expenses alone are a lot.","","But the expenses....There are lots of people in
Luminous, so travel fees alone will be a burden.",""
"ぐぬぬ……確かに、あの大人数で海外に行くのも、
結構めんどくさそう……","","Gunnu...... sure, and that large group of people going abroad,
Looks like quite a hassle: ......","","Hmmph....You're right though, it'll be a pain to
get that many people to go overseas.",""
"あっ、でも話題性はあるから、
メディアを使えば、うまくいくと思うんだけどな～","","Oh, but it's a hot topic,
I think using the media would work - I'm sure it would!","","Ah, but that would make a good headline, so if
we can use the media, it'll go well I think~",""
"確かに、話題性という意味ではありかもしれないが、
ルミナスは始動したばかりのユニットだ","","Sure, it may be in terms of buzz,
Luminous is a newly launched unit.","","That will definitely attract some attention, but 
Luminous has just begun working as a unit.",""
"ひとりひとりの実力があっても、ユニットとして
どこまで高められるか、未知数なところがある","","Even if each individual is capable, as a unit
There are unknowns as to how high we can go.","","Even if each of its member has talent, we still
don't know how well they would work as a group.",""
"ユニットの良さを見極めながら、
活動を進めていきたいと思ってる","","While identifying the goodness of the unit,
I'd like to move forward with our activities.","","I think it's better to thoroughly assess the group
while it is doing its jobs.",""
"……まあ、妥当な意見ていうか、
プロデューサーのお手本って感じだね","","...... Well, it's a reasonable opinion, I guess,
It's like a role model for producers.","","...Well, that sounds like an appropriate opinion,
or rather, a good example set by Producer.",""
"アメリカ帰りって聞いたから、
チャレンジ大好きなタイプかと思ったけど……","","I heard he was going back to the U.S,
I thought you were the type who loves a challenge. ......","","I thought you would love to take on bigger 
challenges, since you returned from America.",""
"普通のプロデューサーの考え方だよね。
まあ、その方が杏も気楽にできるから、いっか","","It's a normal producer's way of thinking.
Well, it's easier for Anzu to take it easy, so why not?","","You're still thinking like an ordinary producer. 
Well, if that lets me work easily, that's fine by me.",""
"普通……？
俺の考えが普通……ってことか？","","Usually ......?
You mean my idea is normal ......?","","Ordinary...?
My way of thinking is ordinary...is what you said?",""
"うん、普通。バランス良い考え方だよね。
無茶やって失敗するのも面倒だもん","","Yes, usually. it's a balanced approach.
It's too much trouble to do something reckless and fail.","","Yep, ordinary. A balanced way of thinking. But, 
being reckless and failing is also bothersome.",""
"とりあえず、ビッグなことは置いといて、
これからもお互いに気楽にやっていこう～","","For now, let's leave the big stuff aside,
Let's keep taking it easy on each other~!","","Nevertheless, let's put that big dream away for
now and let's do our jobs at ease from now on~",""
"（レッスンをサボり、
行方をくらました杏を探しに公園へ来たのだが……）","","(Skipping lessons,
(I came to the park to look for the missing apricot. ......)","","(I went to a park to look for Anzu, who skipped
her lesson and has just dissappeared....)",""
"あっ、こんなところにいたのか。
探したぞ、杏","","Oh, here you are.
I've been looking for you, apricot.","","Ah, there you are.
I was looking for you, Anzu.",""
"おわっ、プロデューサー……！
杏がここにいるって、よく分かったね","","Wow, Producer ......!
How did you know that apricots are here?","","Wow, Producer....!
How did you know Anzu was here?",""
"杏がレッスンに来ていないって聞いて、
あちこち探し回ったんだぞ","","I heard that Anzu didn't come to the lesson,
We've been looking for you everywhere.","","I heard that you didn't attend your lesson, so
I went to many places to find you.",""
"それじゃあ、プロデューサーも歩き疲れたよね。
一緒に休んでいこうよ。ほら、いい天気だよ♪","","Well then, Producer is tired of walking.
Let's rest together...look, it's a beautiful day♪","","Then you must be tired after all that walking,
Producer. Take a rest now, the weather's good♪",""
"そんな悠長な……。杏のことを心配してきたのに、
まさか、公園でサボっていたとは……","","Such a long time ....... I've been worried about apricots,
I didn't realize you were skipping out on the park. ......","","You're too easygoing....I was worried so much 
about you, but you're skipping lessons now....",""
"ちょっと、プロデューサー。サボってなんかないよ。
公園で少し休憩してただけだって！","","Hey, producer, I'm not slacking off.
He said he was just taking a short break in the park!","","No, Producer. I wasn't skipping my lessons, 
I'm just taking a bit of rest in this park!",""
"ほら、ルミナスのレッスン場って、
杏がいつも使っている場所と違うでしょ？","","You see, Luminous is a lesson place,
It's not the same place that apricots usually use, is it?","","You know that the place Anzu supposed to take
lesson differs from the usual place, right?",""
"だから、迷子になっちゃって～。ちょうどいい所に
公園があったから、ひと休みしてたんだ","","So, I got lost - in the right place.
There was a park, so we took a break.","","So I got lost in the way~ Then I found this park
and took a short rest.",""
"なるほど……。だったら休憩も済んだ頃だろ？
レッスン場まで一緒に行こうか","","I see. ....... Then it's about time you took a break, right?
I'll walk you to your lesson.","","I get it now....But you've done resting, right?
I'll take you to the place, so let's go together.",""
"えっ……もう行くの？
今、公園に着いたばっかじゃん","","What, ...... going already?
You just arrived at the park.","","Eh...we're going now?
But we just arrived in this park.",""
"それは俺のことだろ……。
杏はその前から公園で休んでいたんじゃないか？","","That would be me. ......
I think the apricots were resting in the park before that.","","That's just me though....But Anzu, 
you've rested a lot before I came here, right?",""
"えっと……。そうそう♪　
杏も今、公園に着いたばっかりなんだよ","","Let's see... ....... Oh yeah...
Anzu just arrived at the park.","","Ummm....oh, that's right♪
Anzu had arrived at this park not a while ago too.",""
"だから、ちょっと休んでから行くことにするよ……。
あ、プロデューサー。飴ある？","","So I'm going to take some time off and then go to .......
Oh, producer, do you have any candy?","","So let's take a bit of rest before going....
Ah, Producer. Got candies?",""
"飴……？　また、急なお願いだな","","Candy ......? Another urgent request.","","Candies...? What a sudden request.",""
"ほら、動く前には甘いものが必要でしょ？
レッスン場に行くためのエネルギーだよ","","See, you need something sweet before you move, right?
It's energy to get to the lesson hall.","","You need to eat sweets before moving, right?
It's so I have the energy to attend the lesson.",""
"そういうことなら、確か持ってたはず……。
あったあった、これでいいか？","","If that's what you mean, I'm pretty sure I had it. ......
There it is. There it is. Is that it?","","If you say so. I think I'm carrying a few now....
Found them. Is this enough?",""
"ありがとう。いただきまーす……。
あ、この味、杏の好きなやつだ","","Thank you. thanks for the food. .......
Ah, this flavor, the one apricots love.","","Thanks. Then, let's eat....
Ah, Anzu loves this flavor.",""
"まさか杏の好みを把握してる？
なんて、ふふっ。さすがだね、プロデューサー","","You don't think I know what you like about apricots?
What a surprise....great job, producer!","","So you know the things that Anzu likes now?
Just kidding, hehe. As I expected from Producer.",""
"ほら、ひと休みも済んだだろ。
そろそろレッスンに行くぞ","","Look, you've had your break.
It's time for a lesson.","","Let's get moving now, you've done resting right?
We're going for the lesson.",""
"うん、もちろん行くけど～。
楽してアイドルが杏のモットーなんだよね","","Yes, of course I'll go~.
Idol with pleasure is the motto of Anzu.","","Of course I'll go, but~...Remember, Anzu's motto 
is to become an idol in the easiest way.",""
"焦ったり急いだりするの、杏には向いてないし。
ゆる～く楽な方が意外と結果出せると思うんだ","","And rushing and hurrying is not for apricots.
I think the more relaxed and easygoing you are, the better results you'll get.","","Anzu doesn't like doing things in a rush or panic.
She believes its better to work slowly and easily.",""
"ってことで、もうちょっとここで、
ダラダラしてもいーい？","","So here's a little more,
Can I linger?","","With that said, can I rest
just a little longer?",""
"あのなぁ、杏……","","You know, apricot ......","","Anzu, listen....",""
"少しだけなら","","If only for a little while.","","Just for a bit",""
"一緒にサボる","","We'll skip school together.","","Skip lesson together",""
"ダメ","","not serving its purpose","","Can't do that",""
"まあ、少しだけならいいか","","Well, maybe a little.","","Well, I'm fine with just a bit of rest.",""
