"あれは……きらり、おはよう","","That's ...... Kirari, good morning!","","That's... Glittering. Good morning!"
"あっ、Ｐちゃん☆
おっはよ～！","","Oh, P-chan☆!
Good morning!","","Oh, P-chan.☆
Good morning!"
"そういえば、ルミナスのみんなはどうだ？
何か、気になることとかあるか？","","Speaking of which, how's everyone at Luminous doing?
Is there something, or is there something that's bothering you?","","By the way, what about everyone in Luminous?
Is there anything you're curious about?"
"み～んな、とーってもきゃわいくてキラキラ☆
きらりんも、もーっと一緒にピカピカしたいなぁ♪","","Everyone is so cute and sparkling!
I wish Kirari and I could shine together more!","","Everyone's so excited, they sparkle and shine like a beehive to me!!☆
I want to shine with you too, Kirarin.♪"
"そうか。ルミナスのみんなから、
良い刺激をもらっているみたいだな","","Oh yeah, from everyone at Luminous,
Sounds like you're getting some good inspiration.","","I see. Sounds like you're getting some good
stimulation from everyone in Luminous, huh、"
"うぇへへ♪　ハピハピな毎日になりそう♪
心がにょわにょわ♪　うっぷっぷ～☆","","
My heart is nyowa nyowa nyowa nyowa nyowa nyowa nyowa nyowa nyowa nyowa nyowa nyowa nyowa","","Heheh♪ It's gonna be a happy day.♪
My heart's all soft and squishy! ♪ Mmmph, mmph~☆"
"それはよかった。新しい環境がきらりの糧に
なるように、俺もプロデュースを頑張るよ","","That's good to hear...a new environment feeds Kirari.
I'll do my best to produce as well as I can.","","That's good to hear. I will do my best as a producer, so that the
new environment can provide us with an edge of inspiration!"
"にょっわー☆　Ｐちゃん発見！","","Nyowa☆ P-chan found!","","Nyowah-☆ I've found P chan!"
"うおっ！　って、きらりか。
おはよう、今日も元気だな","","Woops!
Good morning. You're looking good today.","","Whoa! Oh, you're glaring at me.
Good morning. You're looking well today as usual, huh?"
"うぇへへ～♪　きらりんはいつもハピハピだけど～。
今朝はいつもより、モアモアハピハピ☆","","Whehehe~♪ Kirarin is always happy-go-lucky~!
This morning was more than usual, more than usual, more than usual, more than usual, more than usual.","","Heheh~ You're always so happy, Kirarin.
More than usual this morning.☆"
"何かいいことでもあったのか？
よかったら、教えてくれないか","","What's so good about it?
If you want, you can let me know.","","Did something good happen?
If you don't mind, could I ask something?"
"にゅふふ♪　それはＰちゃんに会えたから！
朝からＰちゃんの顔を見たら、ニヤけちゃった☆","","Nyufufu♪ That's because I got to meet P-chan!
When I saw P-chan's face in the morning, I had a big grin on my face☆.","","Nyuhufu♪ Because I got to see P-chan!
When I saw P-chan's face this morning, it made me grin.☆"
"俺の顔を見るとニヤける……か。それできらりが
元気になれるのなら、いつでも協力させてもらうぞ","","You grin when you look at my face ....... So Kirari...
If you can get well, I'm always willing to help.","","Seeing my face makes you grin, huh? If that'll help cheer up your spirit of self-importance then I can always come to
terms with it for a bit longer. You know what they say about smiles and all sortsa things like those... Well anyway"
"Ｐちゃん～☆　おっつおっつ！","","P-chan~☆ Oops, oops, oops!","","P-chan~☆ Pops, pops!"
"おっ、きらりか。
遅くまで、お疲れ様","","Oh, Kirari.
Thanks for staying up so late.","","Oh, you're glaring at me.
Thanks for staying up so late today, I guess."
"Ｐちゃんこそ、遅くまでお仕事大変だにぃ。
きらりんたちのために、お仕事をしてくれてるのぉ？","","P-chan, you work hard until late, don't you?
Are you working for Kirarin and the others?","","P-chan, you're the one who has to work late at night.
Are you doing your job for Kirarin and the others?"
"まあ、な。でも、俺が残業をしているのは、
きらりのせいじゃないからな","","Well, yeah, but I'm the one working overtime,
Because it's not Kirari's fault.","","Well, yeah. But I'm not working overtime
because of a grudge or anything like that..."
"うぇへへ☆　いっつもきらりたちを
支えてくれて、ありがとにぃ☆","","Hehehe* I'm always trying to get Kirari and the others to
Thank you for your support.","","Thanks for always
supporting me, n!☆"
"こちらこそ、ありがとう！　それに、
みんなのためなら、辛くもなんともないからな","","Thank you, too!
Because it's not too hard for all of us.","","I should be thanking you! Besides, if
it's for the sake of everyone else..."
"にょわっ！　今の言葉、すっごくカッコイイ～！
Ｐちゃん！　これからも、おにゃーしゃー☆","","What you just said is really cool!
P-chan! Keep up the good work, Onyasha☆!","","Nyowah! That was so cool just now~
P-chan! From now on, Onyaasha~☆"
"ああ、これからも一緒に頑張っていこうな","","Yeah, we're going to keep working together.","","Yeah, let's do our best together from now on."
"Ｐちゃん！　おっすおっす☆
おっは、もーにん……ぐっ！","","P-chan!
Oops, mo-nin ...... gg!","","Hey, P-chan!☆
O-Oh, geez... Guh!"
"おっはにょ～☆
今日もハピハピできらりーんな日にしようにぃ♪","","Good morning!
Let's make today another happy, happy, sparkling day!","","Morning, nyo~☆
Let's make today a happy day again!♪"
"Ｐちゃん、おっつおっつ☆　疲れた体には
とーぶんほきゅー♪　飴、食べゆ？","","P-chan, whoa whoa whoa☆ For a tired body
Toubun-hokyuu♪ Do you want some candy?","","P-chan, ottsuhotstuu☆ For your tired
body. Tobun Hokyu♪ Do you want some candy?"
"Ｐちゃん、遅くまでごくろーさま♪
きらりと一緒に、明日もがんばるにぃ！","","P-chan, thank you for staying up so late.
I'll do my best tomorrow with Kirari!","","P-chan, thank you for staying so late.♪
I'll do my best tomorrow with that sparkle!"
"（最近話題のデザイナーから、新店舗の
プロモーションをきらりにと、話をもらった……）","","(From a recent hot designer, the new store
(I got the promotion to Kirari and got the story: ......)","","(The designer who's been talking about it recently
gave me a chance to promote the new store...)"
"にょわ～☆　きらり、ここのお洋服
とっても好きしゅきウッキウキ♪","","Nyowa~☆ Kirari, your clothes here
I love it so much, I love it so much, I love it so much!","","Nyowah~☆ I love the clothes
here. They're so pretty!♪"
"へぇ、きらりが知っている店だったんだな","","Wow, Kirari must have known about this place.","","Wow, so you know this place."
"そうだよぉ～。ここのお洋服は、
お姫様みたいでとってもハピハピなの！","","That's right~ the clothes here,
I'm like a princess, very happy-go-lucky!","","That's right! The clothes here are like a
princess. They make me feel so happy and full of life!!"
"きゃわいくって、きゅんってするお店なんだよぉ。
ばっちしみんなに知ってもらいたいなぁ……☆","","It's a cute, cute, cute place.
I wish everyone knew exactly what I'm talking about. ......*","","It's a shop that makes people squeeze.
I want everyone to know...☆"
"そう言っていただけて、嬉しいです！","","I am glad to hear you say so!","","I'm so happy to hear you say that!"
"これから、新店舗のイメージキャラクターである
きらりさんのポスター衣装を製作するんですが……","","From now on, the image character of the new store, the
I'm going to produce a poster costume for Kirari. ......","","I'm going to be making a poster for
Kirari-san, the mascot of this new store."
"きらりさんが着てみたい衣装のイメージを頂けない
でしょうか？　ファンの方も喜ぶと思いますので！","","I can't give you an image of the outfit Kirari-san would like to wear.
I think the fans will be pleased!","","Could you give me an image of the outfit that
Kirari-san would like to wear? I'm sure her fans will love it!"
"分かりました。きらりと相談します","","Okay, I will discuss it with Kirari.","","Understood. I'll talk to her about it with a fine-tuned eye, if that works out for you"
