"（あの後ろ姿、詩花だな。
せっかくだから、声をかけていこう）","","(That back, it's a poet flower.
(Since we're here, let's call out to them.)","","(That's Shika from behind.
Since we're here, I might as well call out to her.)",""
"奇遇だな、詩花。
今、少し時間あるか？","","Odd coincidence, Shihua.
Do you have a few minutes now?","","What a coincidence, Shika.
Do you have a moment?",""
"……あっ、プロデューサーさん！
グリュース・ゴット♪","","...... Oh, Mr. Producer!
Grüss Gott ♪","","...Oh, it's Producer!
Gruece Got♪",""
"私に、なにか用事でしょうか？","","Can I help you?","","Do you have some business with me?",""
"ああ、実はこの間のことで、
直接お礼を言いたくてな","","Oh, actually, it was the other day,
I just wanted to thank you in person.","","Well, I wanted to thank you in person
for what happened the other day.",""
"この間のこと……？
一体、何のことでしょう？","","What happened the other day: ......?
What on earth are we talking about?","","The other day...?
What on earth are you talking about?",""
"ほら、亜夜のことで話を聞いてもらっただろう？
あの時はありがとう","","See, you've heard me talk to you about the sub-night.
Thank you for that time.","","See? Didn't you hear about what happened with Aya earlier
this morning, by any chance. Thank you for the other day.","Come on, I asked you about Aya, didn’t I?
Thank you for that time"
"ああ、あのときの！　でも、
お礼を言われるほどのことはしていませんよ？","","Oh, that time! But,
I haven't done enough to warrant a thank you, have I?","","Oh, that! But I didn't do
anything to deserve your thanks.","Oh, from that time! But really it's nothing."
"それに、亜夜ちゃんとプロデューサーさんも
仲良くなってほしいですし","","Besides, Aya and Producer also
And I want us to get along.","","Besides, I want you and the
producer to get along.","Besides, I want Aya-chan and the
producer to get along, too"
"仲良く、か……。
頑張ってみることにするよ","","Get along, or visit .......
I'll give it my best shot.","","Getting along, huh...?
I'll try my best.",""
"はい、頑張ってください！","","Yes, good luck with that!","","Okay, good luck!","Yes, please do your best!"
"（そういえば詩花って、音楽に詳しいんだよな。
なにかルミナスにアドバイスをもらえないかな……）","","(Come to think of it, Shika knows a lot about music.
I wonder if I could get some advice from Luminous (......)","","(Come to think of it, Shika knew a lot about music.
I wonder if Luminous can give me some advice...)",""
"詩花って、音楽方面に詳しかったよな。
亜夜とか玲音にもレッスンを教えたりするのか？","","Shihua was very knowledgeable about the music side of things, wasn't she?
Do you teach lessons to Aya and Leon as well?","","Shika knew a lot about music.
Are you going to teach Aya and Leon lessons?",""
"たまにですね。以前、所属していた合唱団で、
他の人に教えた経験があったので","","Occasionally, in a choir I used to belong to,
I had experience teaching others.","","Sometimes, yes. I have experience teaching others when 
I was a member of a choir before. That's why I thought I could help.","Sometimes. I used to teach
choirs to other people before"
